pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721809874591 1721809874633 42 329238.550000 3463454.370000 0.452258 4.420000 5C4225714 12 -64 
1721809874651 1721809874668 17 329238.720000 3463454.450000 0.452913 4.560000 5C4225714 12 -64 
1721809874707 1721809874728 21 329239.020000 3463454.590000 0.452913 4.800000 5C4225714 12 -64 
1721809874763 1721809874782 19 329239.280000 3463454.700000 0.452913 4.960000 5C4225714 12 -64 
1721809874817 1721809874837 20 329239.380000 3463454.750000 0.452913 5.160000 5C4225714 12 -64 
1721809874872 1721809874888 16 329239.710000 3463454.900000 0.449859 5.320000 5C4225714 12 -64 
1721809874927 1721809874947 20 329239.710000 3463454.900000 0.449859 5.540000 5C4225714 12 -64 
1721809874983 1721809875001 18 329240.320000 3463455.180000 0.449859 5.880000 5C4225714 12 -64 
1721809875038 1721809875055 17 329240.750000 3463455.370000 0.446368 6.040000 5C4225714 12 -64 
1721809875093 1721809875110 17 329241.030000 3463455.500000 0.446368 6.280000 5C4225714 12 -64 
1721809875148 1721809875163 15 329241.380000 3463455.650000 0.446368 6.420000 5C4225714 12 -64 
1721809875203 1721809875221 18 329241.670000 3463455.790000 0.446368 6.680000 5C4225714 12 -64 
1721809875258 1721809875283 25 329241.980000 3463455.920000 0.445059 6.800000 5C4225714 12 -64 
1721809875313 1721809875332 19 329242.360000 3463456.100000 0.445059 6.940000 5C4225714 12 -64 
1721809875368 1721809875386 18 329242.690000 3463456.230000 0.445059 7.160000 5C4225714 12 -64 
1721809875423 1721809875441 18 329242.880000 3463456.320000 0.445059 7.380000 5C4225714 12 -64 
1721809875478 1721809875496 18 329243.230000 3463456.470000 0.440914 7.520000 5C4225714 12 -64 
1721809875533 1721809875551 18 329243.580000 3463456.630000 0.440914 7.720000 5C4225714 12 -64 
1721809875588 1721809875606 18 329244.380000 3463456.960000 0.440914 8.220000 5C4225714 12 -64 
1721809875643 1721809875661 18 329244.750000 3463457.130000 0.435896 8.460000 5C4225714 12 -64 
1721809875698 1721809875717 19 329245.060000 3463457.260000 0.435896 8.540000 5C4225714 12 -64 
1721809875761 1721809875781 20 329245.450000 3463457.420000 0.435896 8.640000 5C4225714 12 -64 
1721809875816 1721809875834 18 329245.850000 3463457.580000 0.435896 8.820000 5C4225714 12 -64 
1721809875871 1721809875897 26 329246.260000 3463457.750000 0.424115 8.940000 5C4225714 12 -64 
1721809875926 1721809875943 17 329246.680000 3463457.920000 0.424115 9.180000 5C4225714 12 -64 
1721809875981 1721809875997 16 329247.020000 3463458.050000 0.424115 9.320000 5C4225714 12 -64 
1721809876036 1721809876055 19 329247.640000 3463458.280000 0.424115 9.720000 5C4225714 12 -64 
1721809876091 1721809876109 18 329248.170000 3463458.500000 0.407098 9.840000 5C4225714 12 -64 
1721809876146 1721809876163 17 329248.540000 3463458.630000 0.407098 10.040000 5C4225714 12 -64 
1721809876202 1721809876222 20 329249.570000 3463459.020000 0.394444 10.260000 5C4225714 12 -64 
1721809876256 1721809876276 20 329250.050000 3463459.210000 0.394444 10.480000 5C4225714 12 -64 
1721809876311 1721809876329 18 329250.050000 3463459.210000 0.394444 10.640000 5C4225714 12 -64 
1721809876366 1721809876382 16 329250.940000 3463459.530000 0.394444 10.820000 5C4225714 12 -64 
1721809876421 1721809876441 20 329251.460000 3463459.700000 0.394444 11.020000 5C4225714 12 -64 
1721809876476 1721809876494 18 329251.980000 3463459.890000 0.376337 11.160000 5C4225714 12 -64 
1721809876531 1721809876547 16 329252.610000 3463460.110000 0.376337 11.380000 5C4225714 12 -64 
1721809876586 1721809876606 20 329253.040000 3463460.250000 0.376337 11.600000 5C4225714 12 -64 
1721809876641 1721809876659 18 329253.690000 3463460.470000 0.358229 11.740000 5C4225714 12 -64 
1721809876696 1721809876712 16 329254.360000 3463460.690000 0.358229 11.800000 5C4225714 12 -64 
1721809876776 1721809876792 16 329255.490000 3463461.050000 0.358229 12.100000 5C4225714 12 -64 
1721809876845 1721809876864 19 329256.190000 3463461.260000 0.340994 12.260000 5C4225714 12 -64 
1721809876899 1721809876927 28 329257.260000 3463461.600000 0.340994 12.620000 5C4225714 12 -64 
1721809877030 1721809877051 21 329258.230000 3463461.880000 0.340994 12.860000 5C4225714 12 -64 
1721809877101 1721809877125 24 329259.100000 3463462.130000 0.323977 12.940000 5C4225714 12 -64 
1721809877166 1721809877186 20 329260.350000 3463462.490000 0.323977 13.200000 5C4225714 12 -64 
1721809877364 1721809877382 18 329263.070000 3463463.240000 0.306087 13.620000 5C4225714 12 -64 
1721809877440 1721809877465 25 329263.330000 3463463.320000 0.306087 13.720000 5C4225714 12 -64 
1721809877571 1721809877589 18 329265.610000 3463463.920000 0.294088 13.940000 5C4225714 12 -68 
1721809877631 1721809877650 19 329266.290000 3463464.100000 0.284489 14.020000 5C4225714 12 -68 
1721809877696 1721809877716 20 329267.110000 3463464.320000 0.284489 14.080000 5C4225714 12 -68 
1721809877823 1721809877842 19 329269.180000 3463464.840000 0.272271 14.300000 5C4225714 12 -68 
1721809877888 1721809877904 16 329270.020000 3463465.050000 0.272271 14.380000 5C4225714 12 -68 
1721809877959 1721809877975 16 329270.720000 3463465.220000 0.272271 14.440000 5C4225714 10 -68 
1721809878028 1721809878046 18 329271.700000 3463465.450000 0.262890 14.600000 5C4225714 10 -68 
1721809878101 1721809878121 20 329272.550000 3463465.660000 0.262890 14.660000 5C4225714 10 -68 
1721809878180 1721809878205 25 329273.840000 3463465.960000 0.262890 14.820000 5C4225714 10 -68 
1721809878239 1721809878256 17 329274.850000 3463466.190000 0.251546 14.860000 5C4225714 10 -68 
1721809878318 1721809878337 19 329275.580000 3463466.360000 0.251546 14.960000 5C4225714 10 -68 
1721809878383 1721809878403 20 329277.200000 3463466.710000 0.251546 15.120000 5C4225714 10 -68 
1721809878438 1721809878459 21 329277.930000 3463466.870000 0.237801 15.220000 5C4225714 10 -68 
1721809878574 1721809878589 15 329280.190000 3463467.330000 0.237801 15.520000 5C4225714 10 -68 
1721809878641 1721809878659 18 329280.800000 3463467.460000 0.223838 15.580000 5C4225714 10 -68 
1721809878709 1721809878724 15 329281.560000 3463467.610000 0.223838 15.640000 5C4225714 10 -68 
1721809878780 1721809878796 16 329283.260000 3463467.940000 0.223838 15.880000 5C4225714 10 -68 
1721809878884 1721809878901 17 329284.830000 3463468.220000 0.211185 16.060000 5C4225714 10 -68 
1721809878958 1721809878978 20 329285.770000 3463468.400000 0.211185 16.140000 5C4225714 10 -68 
1721809879033 1721809879049 16 329287.370000 3463468.680000 0.200277 16.260000 5C4225714 10 -68 
1721809879101 1721809879117 16 329288.330000 3463468.830000 0.200277 16.340000 5C4225714 10 -68 
1721809879171 1721809879189 18 329288.980000 3463468.940000 0.200277 16.440000 5C4225714 10 -68 
1721809879246 1721809879264 18 329290.440000 3463469.160000 0.180860 16.580000 5C4225714 10 -68 
1721809879305 1721809879325 20 329291.270000 3463469.290000 0.180860 16.640000 5C4225714 10 -68 
1721809879391 1721809879410 19 329293.090000 3463469.550000 0.180860 16.780000 5C4225714 10 -68 
1721809879460 1721809879476 16 329293.930000 3463469.670000 0.166897 16.860000 5C4225714 10 -68 
1721809879531 1721809879547 16 329295.770000 3463469.910000 0.166897 16.920000 5C4225714 10 -68 
1721809879595 1721809879620 25 329296.610000 3463470.020000 0.147698 17.000000 5C4225714 10 -68 
1721809879661 1721809879681 20 329297.290000 3463470.090000 0.147698 17.080000 5C4225714 10 -68 
1721809879728 1721809879746 18 329298.480000 3463470.230000 0.147698 17.180000 5C4225714 10 -68 
1721809879798 1721809879824 26 329299.680000 3463470.350000 0.147698 17.300000 5C4225714 10 -68 
1721809879866 1721809879885 19 329300.710000 3463470.460000 0.127627 17.360000 5C4225714 10 -68 
1721809879936 1721809879952 16 329302.260000 3463470.600000 0.127627 17.480000 5C4225714 10 -68 
1721809880002 1721809880019 17 329302.790000 3463470.650000 0.127627 17.520000 5C4225714 10 -68 
1721809880070 1721809880090 20 329304.190000 3463470.760000 0.107338 17.600000 5C4225714 10 -68 
1721809880135 1721809880152 17 329306.300000 3463470.890000 0.107338 17.720000 5C4225714 10 -68 
1721809880203 1721809880223 20 329307.180000 3463470.930000 0.083121 17.760000 5C4225714 10 -68 
1721809880270 1721809880289 19 329307.730000 3463470.960000 0.083121 17.780000 5C4225714 10 -68 
1721809880345 1721809880366 21 329309.500000 3463471.030000 0.083121 17.800000 5C4225714 10 -68 
