pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1712890218976 1712890219016 40 328966.080000 3463474.570000 -3.107559 0.000000
1712890219026 1712890219046 20 328966.070000 3463474.570000 -3.107559 0.000000
1712890219077 1712890219100 23 328966.060000 3463474.570000 -3.107559 0.040000
1712890219127 1712890219150 23 328966.050000 3463474.570000 -3.105595 0.040000
1712890219177 1712890219200 23 328966.030000 3463474.570000 -3.105595 0.180000
1712890219227 1712890219250 23 328966.010000 3463474.570000 -3.105595 0.220000
1712890219277 1712890219300 23 328965.990000 3463474.570000 -3.105595 0.240000
1712890219327 1712890219350 23 328965.970000 3463474.570000 -3.108868 0.260000
1712890219377 1712890219400 23 328965.950000 3463474.570000 -3.108868 0.300000
1712890219428 1712890219451 23 328965.930000 3463474.570000 -3.108868 0.320000
1712890219478 1712890219501 23 328965.920000 3463474.570000 -3.108868 0.380000
1712890219528 1712890219552 24 328965.900000 3463474.570000 -3.108868 0.420000
1712890219578 1712890219601 23 328965.860000 3463474.570000 -3.113013 0.440000
1712890219628 1712890219653 25 328965.830000 3463474.570000 -3.113013 0.500000
1712890219678 1712890219703 25 328965.810000 3463474.570000 -3.113013 0.540000
1712890219728 1712890219753 25 328965.760000 3463474.580000 -3.112577 0.600000
1712890219779 1712890219802 23 328965.720000 3463474.580000 -3.112577 0.680000
1712890219829 1712890219852 23 328965.670000 3463474.580000 -3.112577 0.740000
1712890219879 1712890219902 23 328965.650000 3463474.580000 -3.112577 0.780000
1712890219929 1712890219953 24 328965.570000 3463474.600000 -3.116285 0.840000
1712890219979 1712890220003 24 328965.520000 3463474.600000 -3.116285 0.880000
1712890220029 1712890220054 25 328965.480000 3463474.610000 -3.116285 0.960000
1712890220079 1712890220111 32 328965.410000 3463474.610000 -3.116285 1.040000
1712890220130 1712890220149 19 328965.380000 3463474.620000 -3.129812 1.100000
1712890220180 1712890220204 24 328965.330000 3463474.620000 -3.129812 1.180000
1712890220230 1712890220250 20 328965.250000 3463474.630000 -3.129812 1.200000
1712890220280 1712890220300 20 328965.190000 3463474.650000 -3.129812 1.260000
1712890220330 1712890220354 24 328965.100000 3463474.660000 -3.138975 1.320000
1712890220380 1712890220398 18 328965.030000 3463474.670000 -3.138975 1.380000
1712890220430 1712890220447 17 328964.990000 3463474.670000 -3.138975 1.440000
1712890220481 1712890220500 19 328964.860000 3463474.700000 -3.138975 1.480000
1712890220531 1712890220550 19 328964.790000 3463474.710000 3.129375 1.520000
1712890220581 1712890220607 26 328964.700000 3463474.720000 3.129375 1.580000
1712890220631 1712890220651 20 328964.620000 3463474.730000 3.129375 1.620000
1712890220681 1712890220700 19 328964.520000 3463474.750000 3.116940 1.660000
1712890220731 1712890220747 16 328964.460000 3463474.760000 3.116940 1.700000
1712890220782 1712890220802 20 328964.460000 3463474.760000 3.116940 1.700000
1712890220832 1712890220856 24 328964.380000 3463474.770000 3.116940 1.720000
1712890220882 1712890220902 20 328964.320000 3463474.770000 3.116940 1.780000
1712890220932 1712890220952 20 328964.180000 3463474.800000 3.116940 1.800000
1712890220982 1712890221002 20 328964.080000 3463474.810000 3.102759 1.880000
1712890221032 1712890221049 17 328963.980000 3463474.830000 3.102759 1.900000
1712890221083 1712890221102 19 328963.880000 3463474.850000 3.102759 1.960000
1712890221133 1712890221151 18 328963.810000 3463474.860000 3.102759 1.980000
1712890221183 1712890221199 16 328963.660000 3463474.880000 3.089451 2.040000
1712890221233 1712890221264 31 328963.590000 3463474.890000 3.089451 2.080000
1712890221283 1712890221306 23 328963.480000 3463474.910000 3.089451 2.120000
1712890221333 1712890221356 23 328963.380000 3463474.920000 3.089451 2.140000
1712890221383 1712890221404 21 328963.240000 3463474.940000 3.073307 2.200000
1712890221434 1712890221456 22 328963.130000 3463474.970000 3.073307 2.240000
1712890221484 1712890221501 17 328963.060000 3463474.970000 3.073307 2.300000
1712890221534 1712890221550 16 328962.940000 3463474.990000 3.073307 2.320000
1712890221584 1712890221601 17 328962.770000 3463475.020000 3.064798 2.380000
1712890221634 1712890221653 19 328962.660000 3463475.030000 3.064798 2.440000
1712890221684 1712890221702 18 328962.540000 3463475.060000 3.064798 2.460000
1712890221735 1712890221758 23 328962.430000 3463475.070000 3.064798 2.520000
1712890221785 1712890221802 17 328962.220000 3463475.090000 3.054981 2.540000
1712890221835 1712890221856 21 328962.090000 3463475.120000 3.054981 2.600000
1712890221885 1712890221904 19 328962.010000 3463475.130000 3.054981 2.640000
1712890221935 1712890221959 24 328961.880000 3463475.140000 3.054981 2.700000
1712890221985 1712890222004 19 328961.770000 3463475.160000 3.047999 2.740000
1712890222035 1712890222056 21 328961.630000 3463475.180000 3.047999 2.800000
1712890222086 1712890222103 17 328961.430000 3463475.210000 3.047999 2.820000
1712890222136 1712890222156 20 328961.290000 3463475.220000 3.047999 2.860000
1712890222186 1712890222217 31 328961.110000 3463475.250000 3.045818 2.900000
1712890222236 1712890222254 18 328960.970000 3463475.270000 3.045818 2.940000
1712890222286 1712890222313 27 328960.820000 3463475.280000 3.045818 2.980000
1712890222336 1712890222357 21 328960.630000 3463475.300000 3.043200 3.020000
1712890222386 1712890222407 21 328960.470000 3463475.320000 3.043200 3.060000
1712890222437 1712890222460 23 328960.350000 3463475.340000 3.043200 3.100000
1712890222487 1712890222511 24 328960.220000 3463475.350000 3.043200 3.140000
1712890222537 1712890222561 24 328960.060000 3463475.360000 3.046472 3.200000
1712890222587 1712890222611 24 328959.860000 3463475.390000 3.046472 3.240000
1712890222637 1712890222660 23 328959.700000 3463475.400000 3.046472 3.280000
1712890222687 1712890222707 20 328959.570000 3463475.410000 3.046472 3.320000
1712890222738 1712890222761 23 328959.360000 3463475.430000 3.051054 3.340000
1712890222788 1712890222811 23 328959.160000 3463475.440000 3.051054 3.380000
1712890222838 1712890222860 22 328958.980000 3463475.470000 3.051054 3.420000
1712890222888 1712890222912 24 328958.850000 3463475.470000 3.051054 3.460000
1712890222938 1712890222961 23 328958.740000 3463475.480000 3.051054 3.500000
1712890222988 1712890223012 24 328958.640000 3463475.500000 3.055417 3.560000
1712890223038 1712890223063 25 328958.310000 3463475.520000 3.055417 3.600000
1712890223088 1712890223113 25 328958.240000 3463475.530000 3.055417 3.620000
1712890223139 1712890223162 23 328958.020000 3463475.540000 3.055417 3.680000
1712890223189 1712890223213 24 328957.720000 3463475.570000 3.057817 3.720000
1712890223239 1712890223263 24 328957.530000 3463475.580000 3.057817 3.760000
1712890223289 1712890223313 24 328957.370000 3463475.590000 3.057817 3.800000
1712890223339 1712890223363 24 328957.110000 3463475.610000 3.062617 3.840000
1712890223389 1712890223421 32 328956.910000 3463475.620000 3.062617 3.860000
1712890223439 1712890223467 28 328956.710000 3463475.640000 3.062617 3.920000
1712890223490 1712890223514 24 328956.560000 3463475.650000 3.062617 3.940000
1712890223540 1712890223561 21 328956.430000 3463475.650000 3.062617 3.980000
1712890223590 1712890223621 31 328956.180000 3463475.670000 3.072652 4.040000
