pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1712890495777 1712890495808 31 328981.060000 3463457.330000 2.519165 2.740000
1712890495827 1712890495847 20 328980.920000 3463457.440000 2.519165 2.780000
1712890495877 1712890495904 27 328980.830000 3463457.500000 2.519165 2.820000
1712890495928 1712890495952 24 328980.710000 3463457.590000 2.519165 2.860000
1712890495978 1712890496003 25 328980.640000 3463457.640000 2.512183 2.920000
1712890496028 1712890496053 25 328980.470000 3463457.780000 2.512183 2.960000
1712890496078 1712890496101 23 328980.350000 3463457.870000 2.512183 3.000000
1712890496128 1712890496152 24 328980.210000 3463457.970000 2.512183 3.040000
1712890496178 1712890496203 25 328980.070000 3463458.070000 2.516983 3.100000
1712890496228 1712890496252 24 328979.950000 3463458.160000 2.516983 3.140000
1712890496279 1712890496303 24 328979.850000 3463458.240000 2.516983 3.180000
1712890496329 1712890496353 24 328979.690000 3463458.350000 2.516983 3.240000
1712890496379 1712890496403 24 328979.580000 3463458.430000 2.520037 3.260000
1712890496429 1712890496445 16 328979.450000 3463458.540000 2.520037 3.320000
1712890496479 1712890496502 23 328979.290000 3463458.660000 2.520037 3.340000
1712890496529 1712890496552 23 328979.150000 3463458.760000 2.520037 3.400000
1712890496579 1712890496604 25 328979.010000 3463458.860000 2.503457 3.440000
1712890496630 1712890496654 24 328978.900000 3463458.960000 2.503457 3.460000
1712890496680 1712890496704 24 328978.700000 3463459.100000 2.503457 3.560000
1712890496730 1712890496754 24 328978.560000 3463459.200000 2.503457 3.580000
1712890496780 1712890496804 24 328978.410000 3463459.320000 2.503457 3.600000
1712890496830 1712890496854 24 328978.230000 3463459.450000 2.503457 3.640000
1712890496880 1712890496904 24 328978.090000 3463459.570000 2.503457 3.680000
1712890496930 1712890496953 23 328978.000000 3463459.640000 2.503457 3.740000
1712890496980 1712890497012 32 328977.840000 3463459.750000 2.510220 3.780000
1712890497031 1712890497051 20 328977.690000 3463459.860000 2.510220 3.800000
1712890497081 1712890497102 21 328977.530000 3463459.980000 2.510220 3.820000
1712890497131 1712890497155 24 328977.410000 3463460.080000 2.510220 3.840000
1712890497181 1712890497205 24 328977.220000 3463460.220000 2.514147 3.880000
1712890497231 1712890497255 24 328977.040000 3463460.360000 2.514147 3.940000
1712890497281 1712890497304 23 328976.910000 3463460.460000 2.514147 3.940000
1712890497331 1712890497354 23 328976.720000 3463460.600000 2.509565 4.000000
1712890497382 1712890497406 24 328976.650000 3463460.660000 2.509565 4.020000
1712890497432 1712890497455 23 328976.410000 3463460.830000 2.509565 4.040000
1712890497482 1712890497505 23 328976.250000 3463460.950000 2.509565 4.080000
1712890497532 1712890497555 23 328976.090000 3463461.060000 2.509565 4.120000
1712890497582 1712890497606 24 328975.920000 3463461.200000 2.513274 4.180000
1712890497632 1712890497656 24 328975.780000 3463461.300000 2.513274 4.200000
1712890497682 1712890497707 25 328975.540000 3463461.470000 2.513274 4.220000
1712890497733 1712890497757 24 328975.330000 3463461.620000 2.515674 4.240000
1712890497783 1712890497806 23 328975.150000 3463461.740000 2.515674 4.260000
1712890497833 1712890497856 23 328974.950000 3463461.900000 2.515674 4.280000
1712890497883 1712890497908 25 328974.810000 3463462.000000 2.515674 4.300000
1712890497933 1712890497950 17 328974.660000 3463462.110000 2.520474 4.360000
1712890497983 1712890498003 20 328974.480000 3463462.230000 2.520474 4.380000
1712890498033 1712890498053 20 328974.300000 3463462.370000 2.520474 4.440000
1712890498084 1712890498108 24 328974.080000 3463462.530000 2.520474 4.460000
1712890498134 1712890498157 23 328973.900000 3463462.650000 2.523092 4.480000
1712890498184 1712890498209 25 328973.710000 3463462.790000 2.523092 4.500000
1712890498234 1712890498258 24 328973.490000 3463462.950000 2.523092 4.520000
1712890498284 1712890498308 24 328973.340000 3463463.050000 2.523092 4.540000
1712890498334 1712890498355 21 328973.150000 3463463.180000 2.530727 4.600000
1712890498385 1712890498410 25 328973.000000 3463463.290000 2.530727 4.640000
1712890498435 1712890498458 23 328972.800000 3463463.420000 2.530727 4.640000
1712890498485 1712890498508 23 328972.570000 3463463.580000 2.530727 4.680000
1712890498535 1712890498558 23 328972.410000 3463463.700000 2.538145 4.700000
1712890498585 1712890498605 20 328972.180000 3463463.850000 2.538145 4.740000
1712890498635 1712890498659 24 328971.940000 3463464.010000 2.538145 4.800000
1712890498685 1712890498709 24 328971.860000 3463464.070000 2.538145 4.800000
1712890498735 1712890498758 23 328971.540000 3463464.290000 2.545999 4.820000
1712890498786 1712890498809 23 328971.330000 3463464.420000 2.545999 4.840000
1712890498836 1712890498859 23 328971.210000 3463464.500000 2.545999 4.880000
1712890498886 1712890498910 24 328970.960000 3463464.660000 2.545999 4.900000
1712890498936 1712890498959 23 328970.750000 3463464.790000 2.556253 4.940000
1712890498986 1712890499010 24 328970.620000 3463464.870000 2.556253 4.980000
1712890499036 1712890499060 24 328970.370000 3463465.030000 2.556253 5.000000
1712890499086 1712890499111 25 328970.070000 3463465.220000 2.556253 5.040000
1712890499137 1712890499161 24 328969.850000 3463465.350000 2.569779 5.060000
1712890499187 1712890499208 21 328969.630000 3463465.480000 2.569779 5.060000
1712890499237 1712890499260 23 328969.410000 3463465.620000 2.569779 5.100000
1712890499287 1712890499310 23 328969.140000 3463465.780000 2.569779 5.140000
1712890499337 1712890499361 24 328968.920000 3463465.900000 2.582651 5.140000
1712890499387 1712890499404 17 328968.690000 3463466.040000 2.582651 5.200000
1712890499437 1712890499460 23 328968.560000 3463466.120000 2.582651 5.220000
1712890499488 1712890499510 22 328968.380000 3463466.220000 2.582651 5.260000
1712890499538 1712890499557 19 328968.050000 3463466.420000 2.599450 5.300000
1712890499588 1712890499605 17 328967.870000 3463466.520000 2.599450 5.320000
1712890499638 1712890499655 17 328967.590000 3463466.680000 2.599450 5.340000
1712890499688 1712890499709 21 328967.490000 3463466.730000 2.599450 5.360000
1712890499738 1712890499761 23 328967.070000 3463466.970000 2.613194 5.380000
1712890499788 1712890499813 25 328966.870000 3463467.070000 2.613194 5.400000
1712890499839 1712890499862 23 328966.540000 3463467.250000 2.613194 5.440000
1712890499889 1712890499913 24 328966.350000 3463467.350000 2.613194 5.420000
1712890499939 1712890499963 24 328966.110000 3463467.480000 2.629557 5.460000
1712890499989 1712890500013 24 328965.910000 3463467.580000 2.629557 5.460000
1712890500039 1712890500062 23 328965.670000 3463467.710000 2.629557 5.460000
1712890500089 1712890500112 23 328965.430000 3463467.830000 2.629557 5.480000
1712890500140 1712890500156 16 328965.120000 3463467.980000 2.645046 5.500000
1712890500190 1712890500213 23 328964.980000 3463468.050000 2.645046 5.500000
1712890500240 1712890500264 24 328964.780000 3463468.160000 2.645046 5.520000
1712890500290 1712890500313 23 328964.330000 3463468.370000 2.645046 5.540000
1712890500340 1712890500363 23 328964.080000 3463468.500000 2.663591 5.540000
1712890500390 1712890500413 23 328963.830000 3463468.630000 2.663591 5.560000
1712890500440 1712890500464 24 328963.520000 3463468.760000 2.663591 5.560000
1712890500491 1712890500515 24 328963.260000 3463468.880000 2.678426 5.580000
1712890500541 1712890500564 23 328963.110000 3463468.950000 2.678426 5.600000
1712890500591 1712890500615 24 328963.010000 3463469.010000 2.678426 5.620000
1712890500641 1712890500665 24 328962.650000 3463469.170000 2.678426 5.660000
1712890500691 1712890500712 21 328962.340000 3463469.290000 2.678426 5.660000
1712890500741 1712890500764 23 328962.020000 3463469.440000 2.698715 5.660000
1712890500792 1712890500816 24 328961.760000 3463469.550000 2.698715 5.660000
1712890500842 1712890500866 24 328961.490000 3463469.660000 2.698715 5.720000
1712890500892 1712890500915 23 328961.230000 3463469.770000 2.698715 5.740000
1712890500942 1712890500965 23 328960.910000 3463469.900000 2.720750 5.740000
1712890500992 1712890501016 24 328960.630000 3463470.010000 2.720750 5.760000
1712890501042 1712890501066 24 328960.470000 3463470.070000 2.720750 5.780000
1712890501092 1712890501116 24 328960.210000 3463470.170000 2.720750 5.800000
1712890501143 1712890501168 25 328959.880000 3463470.300000 2.743876 5.820000
1712890501193 1712890501212 19 328959.600000 3463470.400000 2.743876 5.840000
1712890501243 1712890501266 23 328959.430000 3463470.460000 2.743876 5.840000
1712890501293 1712890501316 23 328959.000000 3463470.620000 2.764820 5.840000
1712890501343 1712890501364 21 328958.710000 3463470.730000 2.764820 5.840000
1712890501393 1712890501414 21 328958.500000 3463470.810000 2.764820 5.880000
1712890501444 1712890501464 20 328958.110000 3463470.940000 2.764820 5.900000
1712890501494 1712890501519 25 328957.990000 3463470.980000 2.764820 5.920000
1712890501544 1712890501568 24 328957.600000 3463471.120000 2.783582 5.920000
1712890501594 1712890501617 23 328957.370000 3463471.190000 2.783582 5.920000
1712890501644 1712890501667 23 328957.080000 3463471.300000 2.783582 5.940000
1712890501694 1712890501718 24 328957.030000 3463471.310000 2.783582 5.980000
1712890501745 1712890501768 23 328956.450000 3463471.510000 2.801472 6.000000
1712890501795 1712890501818 23 328956.170000 3463471.600000 2.801472 6.000000
1712890501845 1712890501868 23 328956.170000 3463471.600000 2.801472 6.000000
1712890501895 1712890501925 30 328955.880000 3463471.680000 2.801472 6.020000
1712890501945 1712890501962 17 328955.530000 3463471.790000 2.820234 6.040000
1712890501995 1712890502020 25 328955.350000 3463471.850000 2.820234 6.040000
1712890502046 1712890502071 25 328954.940000 3463471.960000 2.820234 6.040000
1712890502096 1712890502119 23 328954.710000 3463472.030000 2.820234 6.080000
1712890502146 1712890502178 32 328954.480000 3463472.100000 2.820234 6.080000
1712890502196 1712890502216 20 328954.120000 3463472.210000 2.841396 6.100000
1712890502246 1712890502269 23 328953.820000 3463472.290000 2.841396 6.140000
1712890502296 1712890502320 24 328953.530000 3463472.380000 2.841396 6.140000
1712890502346 1712890502370 24 328953.170000 3463472.480000 2.859504 6.160000
1712890502397 1712890502421 24 328952.930000 3463472.550000 2.859504 6.180000
1712890502447 1712890502470 23 328952.750000 3463472.600000 2.859504 6.180000
1712890502497 1712890502521 24 328952.210000 3463472.740000 2.859504 6.220000
1712890502547 1712890502576 29 328951.970000 3463472.810000 2.869976 6.220000
1712890502597 1712890502620 23 328951.610000 3463472.910000 2.869976 6.220000
1712890502647 1712890502671 24 328951.480000 3463472.940000 2.869976 6.240000
1712890502697 1712890502721 24 328951.120000 3463473.020000 2.869976 6.240000
1712890502748 1712890502772 24 328950.750000 3463473.120000 2.885029 6.260000
1712890502798 1712890502822 24 328950.450000 3463473.200000 2.885029 6.260000
1712890502848 1712890502872 24 328950.200000 3463473.260000 2.885029 6.260000
1712890502898 1712890502921 23 328949.780000 3463473.360000 2.885029 6.280000
1712890502948 1712890502971 23 328949.470000 3463473.430000 2.898337 6.280000
1712890502998 1712890503022 24 328949.160000 3463473.510000 2.898337 6.280000
1712890503048 1712890503072 24 328948.790000 3463473.590000 2.898337 6.300000
1712890503099 1712890503123 24 328948.490000 3463473.670000 2.898337 6.300000
1712890503149 1712890503174 25 328948.300000 3463473.700000 2.913391 6.300000
1712890503199 1712890503224 25 328947.980000 3463473.770000 2.913391 6.320000
1712890503249 1712890503272 23 328947.680000 3463473.850000 2.913391 6.320000
1712890503299 1712890503323 24 328947.370000 3463473.910000 2.913391 6.340000
1712890503349 1712890503372 23 328947.050000 3463473.970000 2.931062 6.340000
1712890503400 1712890503424 24 328946.740000 3463474.040000 2.931062 6.340000
1712890503450 1712890503474 24 328946.430000 3463474.100000 2.931062 6.340000
1712890503500 1712890503523 23 328946.060000 3463474.170000 2.931062 6.340000
1712890503550 1712890503574 24 328945.740000 3463474.230000 2.936735 6.360000
1712890503600 1712890503623 23 328945.360000 3463474.300000 2.936735 6.360000
1712890503650 1712890503674 24 328945.240000 3463474.330000 2.936735 6.360000
1712890503700 1712890503732 32 328944.930000 3463474.390000 2.936735 6.360000
1712890503751 1712890503771 20 328944.550000 3463474.460000 2.955933 6.360000
1712890503801 1712890503832 31 328944.170000 3463474.520000 2.955933 6.380000
1712890503851 1712890503870 19 328943.850000 3463474.580000 2.955933 6.420000
1712890503901 1712890503925 24 328943.590000 3463474.620000 2.955933 6.420000
1712890503951 1712890503975 24 328943.280000 3463474.670000 2.972950 6.400000
1712890504001 1712890504025 24 328943.090000 3463474.710000 2.972950 6.400000
1712890504051 1712890504081 30 328942.520000 3463474.790000 2.972950 6.380000
1712890504102 1712890504121 19 328942.190000 3463474.840000 2.972950 6.380000
1712890504152 1712890504176 24 328941.810000 3463474.890000 2.986258 6.400000
1712890504202 1712890504226 24 328941.500000 3463474.940000 2.986258 6.360000
1712890504252 1712890504276 24 328941.190000 3463474.980000 2.986258 6.340000
1712890504302 1712890504324 22 328941.050000 3463475.000000 2.986258 6.340000
1712890504352 1712890504369 17 328940.680000 3463475.050000 3.002184 6.340000
1712890504403 1712890504420 17 328940.360000 3463475.080000 3.002184 6.340000
1712890504453 1712890504470 17 328940.050000 3463475.120000 3.002184 6.340000
1712890504503 1712890504527 24 328939.730000 3463475.160000 3.002184 6.320000
1712890504553 1712890504578 25 328939.420000 3463475.190000 3.012656 6.340000
1712890504603 1712890504626 23 328938.970000 3463475.240000 3.012656 6.320000
1712890504653 1712890504677 24 328938.660000 3463475.270000 3.012656 6.320000
1712890504703 1712890504728 25 328938.340000 3463475.300000 3.012656 6.320000
1712890504754 1712890504777 23 328938.030000 3463475.330000 3.036000 6.320000
1712890504804 1712890504828 24 328937.900000 3463475.350000 3.036000 6.340000
1712890504854 1712890504877 23 328937.530000 3463475.380000 3.036000 6.320000
1712890504904 1712890504926 22 328937.210000 3463475.400000 3.036000 6.320000
1712890504954 1712890504973 19 328936.830000 3463475.430000 3.050836 6.320000
1712890505004 1712890505020 16 328936.510000 3463475.450000 3.050836 6.300000
1712890505054 1712890505074 20 328936.140000 3463475.480000 3.050836 6.300000
1712890505105 1712890505128 23 328935.820000 3463475.490000 3.050836 6.300000
1712890505155 1712890505178 23 328935.570000 3463475.510000 3.059126 6.320000
1712890505205 1712890505229 24 328935.240000 3463475.520000 3.059126 6.320000
1712890505255 1712890505279 24 328934.810000 3463475.550000 3.059126 6.300000
1712890505305 1712890505330 25 328934.490000 3463475.570000 3.085524 6.320000
1712890505355 1712890505379 24 328934.490000 3463475.570000 3.085524 6.340000
1712890505405 1712890505429 24 328933.980000 3463475.590000 3.085524 6.320000
1712890505456 1712890505480 24 328933.730000 3463475.590000 3.085524 6.300000
1712890505506 1712890505530 24 328933.350000 3463475.610000 3.085524 6.320000
1712890505556 1712890505579 23 328932.970000 3463475.620000 3.097305 6.300000
1712890505606 1712890505631 25 328932.650000 3463475.620000 3.097305 6.300000
1712890505656 1712890505680 24 328932.270000 3463475.630000 3.097305 6.300000
1712890505706 1712890505730 24 328931.960000 3463475.630000 3.117594 6.300000
1712890505756 1712890505780 24 328931.640000 3463475.640000 3.117594 6.280000
1712890505807 1712890505831 24 328931.390000 3463475.640000 3.117594 6.280000
1712890505857 1712890505880 23 328931.140000 3463475.630000 3.117594 6.260000
1712890505907 1712890505930 23 328930.880000 3463475.640000 3.117594 6.260000
1712890505957 1712890505981 24 328930.510000 3463475.630000 3.117158 6.260000
1712890506007 1712890506030 23 328930.130000 3463475.630000 3.117158 6.260000
1712890506057 1712890506080 23 328929.940000 3463475.620000 3.117158 6.280000
1712890506107 1712890506138 31 328929.500000 3463475.620000 3.117158 6.280000
1712890506158 1712890506176 18 328929.180000 3463475.620000 -3.140284 6.260000
1712890506208 1712890506232 24 328928.860000 3463475.600000 -3.140284 6.280000
1712890506258 1712890506288 30 328928.490000 3463475.600000 -3.140284 6.300000
1712890506308 1712890506326 18 328928.240000 3463475.580000 -3.140284 6.260000
1712890506358 1712890506382 24 328927.800000 3463475.570000 -3.116940 6.280000
1712890506408 1712890506432 24 328927.550000 3463475.560000 -3.116940 6.300000
1712890506459 1712890506483 24 328927.170000 3463475.540000 -3.116940 6.300000
1712890506509 1712890506533 24 328926.920000 3463475.530000 -3.110831 6.280000
1712890506559 1712890506583 24 328926.660000 3463475.520000 -3.110831 6.280000
1712890506609 1712890506632 23 328926.420000 3463475.500000 -3.110831 6.260000
1712890506659 1712890506683 24 328926.100000 3463475.480000 -3.110831 6.260000
1712890506709 1712890506732 23 328925.720000 3463475.460000 -3.110831 6.260000
1712890506759 1712890506782 23 328925.340000 3463475.430000 -3.086833 6.320000
1712890506810 1712890506833 23 328925.020000 3463475.410000 -3.086833 6.280000
1712890506860 1712890506884 24 328924.720000 3463475.380000 -3.086833 6.280000
1712890506910 1712890506933 23 328924.400000 3463475.360000 -3.075270 6.300000
1712890506960 1712890506981 21 328924.080000 3463475.330000 -3.075270 6.300000
1712890507010 1712890507027 17 328923.830000 3463475.310000 -3.075270 6.280000
1712890507060 1712890507082 22 328923.390000 3463475.260000 -3.075270 6.300000
