pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1711863609323 1711863609366 43 329253.200000 3463437.650000 0.866556 0.000000
1711863609373 1711863609391 18 329253.200000 3463437.650000 0.866556 0.000000
1711863609423 1711863609446 23 329253.200000 3463437.650000 0.866556 0.000000
1711863609474 1711863609495 21 329253.200000 3463437.650000 0.866992 0.000000
1711863609524 1711863609547 23 329253.200000 3463437.650000 0.866992 0.000000
1711863609574 1711863609592 18 329253.200000 3463437.650000 0.866992 0.000000
1711863609624 1711863609647 23 329253.200000 3463437.650000 0.866992 0.000000
1711863609674 1711863609696 22 329253.200000 3463437.650000 0.866556 0.000000
1711863609725 1711863609749 24 329253.200000 3463437.650000 0.866556 0.000000
1711863609775 1711863609798 23 329253.200000 3463437.650000 0.866556 0.000000
1711863609825 1711863609849 24 329253.200000 3463437.650000 0.866556 0.000000
1711863609875 1711863609898 23 329253.200000 3463437.650000 0.866556 0.000000
1711863609926 1711863609949 23 329253.200000 3463437.650000 0.866556 0.000000
1711863609976 1711863609993 17 329253.200000 3463437.650000 0.866556 0.000000
1711863610026 1711863610048 22 329253.200000 3463437.650000 0.866556 0.000000
1711863610076 1711863610099 23 329253.200000 3463437.650000 0.866120 0.000000
1711863610126 1711863610148 22 329253.200000 3463437.650000 0.866120 0.000000
1711863610177 1711863610199 22 329253.200000 3463437.650000 0.866120 0.000000
1711863610227 1711863610250 23 329253.200000 3463437.650000 0.866120 0.000000
1711863610277 1711863610297 20 329253.200000 3463437.650000 0.866774 0.000000
1711863610327 1711863610345 18 329253.200000 3463437.650000 0.866774 0.000000
1711863610377 1711863610396 19 329253.200000 3463437.650000 0.866774 0.000000
1711863610428 1711863610447 19 329253.200000 3463437.650000 0.866774 0.000000
1711863610478 1711863610495 17 329253.200000 3463437.650000 0.866774 0.000000
1711863610528 1711863610551 23 329253.200000 3463437.650000 0.866120 0.000000
1711863610579 1711863610600 21 329253.200000 3463437.650000 0.866120 0.000000
1711863610629 1711863610651 22 329253.200000 3463437.650000 0.866120 0.000000
1711863610679 1711863610701 22 329253.200000 3463437.650000 0.866120 0.000000
1711863610729 1711863610751 22 329253.200000 3463437.650000 0.866120 0.000000
1711863610779 1711863610801 22 329253.200000 3463437.650000 0.866120 0.000000
1711863610830 1711863610846 16 329253.200000 3463437.650000 0.865465 0.000000
1711863610880 1711863610904 24 329253.200000 3463437.650000 0.865465 0.000000
1711863610930 1711863610953 23 329253.200000 3463437.650000 0.865465 0.000000
1711863610980 1711863611003 23 329253.200000 3463437.650000 0.865465 0.000000
1711863611030 1711863611054 24 329253.200000 3463437.650000 0.865465 0.000000
1711863611081 1711863611104 23 329253.200000 3463437.650000 0.865465 0.000000
1711863611131 1711863611153 22 329253.200000 3463437.650000 0.868083 0.000000
1711863611181 1711863611203 22 329253.200000 3463437.650000 0.868083 0.000000
1711863611231 1711863611246 15 329253.200000 3463437.650000 0.868083 0.000000
1711863611281 1711863611297 16 329253.200000 3463437.650000 0.868083 0.000000
1711863611332 1711863611347 15 329253.200000 3463437.650000 0.866338 0.000000
1711863611382 1711863611404 22 329253.200000 3463437.650000 0.866338 0.000000
1711863611432 1711863611454 22 329253.200000 3463437.650000 0.866338 0.000000
1711863611482 1711863611506 24 329253.200000 3463437.650000 0.866338 0.000000
1711863611533 1711863611555 22 329253.200000 3463437.650000 0.866338 0.000000
1711863611583 1711863611605 22 329253.200000 3463437.650000 0.866338 0.000000
1711863611634 1711863611652 18 329253.200000 3463437.650000 0.866338 0.000000
1711863611684 1711863611704 20 329253.200000 3463437.650000 0.866338 0.000000
