pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721201858032 1721201858063 31 328967.080000 3463466.880000 2.657046 7.880000 5C4225714 7 -69 
1721201858088 1721201858110 22 328966.750000 3463467.050000 2.669917 7.560000 5C4225714 7 -69 
1721201858143 1721201858158 15 328966.340000 3463467.250000 2.669917 7.540000 5C4225714 7 -69 
1721201858198 1721201858225 27 328966.200000 3463467.310000 2.669917 7.480000 5C4225714 7 -69 
1721201858254 1721201858273 19 328965.590000 3463467.610000 2.683444 7.460000 5C4225714 7 -69 
1721201858309 1721201858328 19 328965.330000 3463467.750000 2.683444 7.420000 5C4225714 7 -69 
1721201858364 1721201858381 17 328964.860000 3463467.970000 2.683444 7.380000 5C4225714 7 -69 
1721201858419 1721201858442 23 328964.580000 3463468.080000 2.683444 7.380000 5C4225714 7 -69 
1721201858474 1721201858490 16 328963.990000 3463468.370000 2.700461 7.280000 5C4225714 7 -69 
1721201858528 1721201858543 15 328963.590000 3463468.540000 2.700461 7.260000 5C4225714 7 -69 
1721201858584 1721201858600 16 328963.390000 3463468.630000 2.700461 7.220000 5C4225714 7 -69 
1721201858639 1721201858659 20 328963.390000 3463468.630000 2.700461 7.220000 5C4225714 7 -69 
1721201858694 1721201858713 19 328962.530000 3463469.010000 2.716823 7.180000 5C4225714 7 -69 
1721201858750 1721201858768 18 328962.330000 3463469.100000 2.716823 7.140000 5C4225714 7 -69 
1721201858805 1721201858828 23 328961.940000 3463469.270000 2.716823 7.120000 5C4225714 7 -69 
1721201858860 1721201858877 17 328961.550000 3463469.430000 2.733622 7.060000 5C4225714 7 -69 
1721201858920 1721201858940 20 328961.220000 3463469.580000 2.733622 7.060000 5C4225714 7 -69 
1721201858975 1721201858991 16 328960.830000 3463469.730000 2.733622 7.000000 5C4225714 7 -69 
1721201859031 1721201859047 16 328960.560000 3463469.840000 2.733622 7.000000 5C4225714 7 -69 
1721201859087 1721201859103 16 328959.990000 3463470.070000 2.749548 6.940000 5C4225714 7 -69 
1721201859146 1721201859165 19 328959.600000 3463470.230000 2.749548 6.920000 5C4225714 7 -69 
1721201859201 1721201859220 19 328959.280000 3463470.350000 2.749548 6.860000 5C4225714 7 -69 
1721201859256 1721201859275 19 328959.020000 3463470.450000 2.761547 6.820000 5C4225714 7 -69 
1721201859311 1721201859327 16 328958.580000 3463470.620000 2.761547 6.780000 5C4225714 7 -69 
1721201859367 1721201859386 19 328958.270000 3463470.750000 2.761547 6.760000 5C4225714 7 -69 
1721201859422 1721201859440 18 328957.940000 3463470.860000 2.761547 6.720000 5C4225714 7 -69 
1721201859477 1721201859493 16 328957.750000 3463470.930000 2.777692 6.700000 5C4225714 7 -69 
1721201859532 1721201859548 16 328957.570000 3463471.000000 2.777692 6.680000 5C4225714 7 -69 
1721201859587 1721201859606 19 328956.820000 3463471.280000 2.777692 6.620000 5C4225714 7 -69 
1721201859642 1721201859660 18 328956.500000 3463471.380000 2.796890 6.620000 5C4225714 7 -69 
1721201859697 1721201859714 17 328956.130000 3463471.520000 2.796890 6.600000 5C4225714 7 -69 
1721201859752 1721201859775 23 328955.760000 3463471.650000 2.796890 6.580000 5C4225714 7 -69 
1721201859807 1721201859824 17 328955.440000 3463471.760000 2.796890 6.560000 5C4225714 7 -69 
1721201859863 1721201859880 17 328955.200000 3463471.840000 2.810416 6.540000 5C4225714 7 -69 
1721201859918 1721201859934 16 328954.760000 3463471.980000 2.810416 6.520000 5C4225714 7 -69 
1721201859973 1721201859989 16 328954.450000 3463472.080000 2.810416 6.520000 5C4225714 7 -69 
1721201860029 1721201860048 19 328954.260000 3463472.140000 2.810416 6.500000 5C4225714 7 -69 
1721201860084 1721201860100 16 328953.960000 3463472.240000 2.825688 6.480000 5C4225714 7 -69 
1721201860139 1721201860159 20 328953.700000 3463472.320000 2.825688 6.460000 5C4225714 7 -69 
1721201860206 1721201860224 18 328952.960000 3463472.550000 2.825688 6.460000 5C4225714 7 -69 
1721201860260 1721201860279 19 328952.780000 3463472.600000 2.840087 6.460000 5C4225714 7 -69 
1721201860316 1721201860335 19 328952.340000 3463472.730000 2.840087 6.460000 5C4225714 7 -69 
1721201860371 1721201860391 20 328952.030000 3463472.820000 2.840087 6.460000 5C4225714 7 -69 
1721201860426 1721201860446 20 328951.650000 3463472.930000 2.840087 6.440000 5C4225714 7 -69 
1721201860482 1721201860500 18 328951.470000 3463472.990000 2.855795 6.440000 5C4225714 7 -69 
1721201860537 1721201860553 16 328951.220000 3463473.060000 2.855795 6.440000 5C4225714 7 -69 
1721201860592 1721201860612 20 328950.850000 3463473.150000 2.855795 6.440000 5C4225714 7 -69 
1721201860648 1721201860666 18 328950.470000 3463473.260000 2.855795 6.440000 5C4225714 7 -69 
1721201860703 1721201860721 18 328949.840000 3463473.420000 2.869321 6.480000 5C4225714 7 -69 
1721201860758 1721201860776 18 328949.530000 3463473.500000 2.869321 6.500000 5C4225714 7 -69 
1721201860813 1721201860831 18 328949.150000 3463473.600000 2.869321 6.540000 5C4225714 7 -69 
1721201860868 1721201860886 18 328948.830000 3463473.680000 2.887429 6.560000 5C4225714 7 -69 
1721201860924 1721201860940 16 328948.510000 3463473.770000 2.887429 6.560000 5C4225714 7 -69 
1721201860979 1721201860999 20 328948.130000 3463473.850000 2.887429 6.600000 5C4225714 7 -69 
1721201861034 1721201861052 18 328947.810000 3463473.930000 2.897028 6.600000 5C4225714 7 -69 
1721201861089 1721201861106 17 328947.470000 3463474.000000 2.897028 6.680000 5C4225714 7 -69 
1721201861145 1721201861162 17 328947.340000 3463474.040000 2.897028 6.680000 5C4225714 7 -69 
1721201861200 1721201861217 17 328946.950000 3463474.120000 2.897028 6.700000 5C4225714 7 -69 
1721201861257 1721201861274 17 328946.220000 3463474.290000 2.918627 6.700000 5C4225714 7 -69 
1721201861312 1721201861328 16 328946.220000 3463474.290000 2.918627 6.700000 5C4225714 7 -69 
1721201861367 1721201861387 20 328945.500000 3463474.440000 2.918627 6.700000 5C4225714 7 -69 
1721201861422 1721201861448 26 328945.170000 3463474.510000 2.934117 6.700000 5C4225714 7 -69 
1721201861478 1721201861496 18 328944.840000 3463474.570000 2.934117 6.700000 5C4225714 7 -69 
1721201861533 1721201861551 18 328944.640000 3463474.600000 2.934117 6.700000 5C4225714 7 -69 
1721201861588 1721201861605 17 328944.170000 3463474.690000 2.934117 6.720000 5C4225714 7 -69 
1721201861643 1721201861658 15 328943.780000 3463474.760000 2.946770 6.720000 5C4225714 7 -69 
1721201861698 1721201861718 20 328943.440000 3463474.820000 2.946770 6.720000 5C4225714 7 -69 
1721201861753 1721201861772 19 328943.240000 3463474.860000 2.946770 6.720000 5C4225714 7 -69 
1721201861809 1721201861828 19 328942.920000 3463474.920000 2.946770 6.740000 5C4225714 7 -69 
1721201861864 1721201861882 18 328942.650000 3463474.960000 2.946770 6.740000 5C4225714 7 -69 
1721201861920 1721201861942 22 328941.980000 3463475.070000 2.965533 6.720000 5C4225714 7 -69 
1721201861975 1721201861992 17 328941.510000 3463475.140000 2.965533 6.740000 5C4225714 7 -69 
1721201862030 1721201862045 15 328941.110000 3463475.190000 2.977095 6.740000 5C4225714 7 -69 
1721201862085 1721201862110 25 328940.840000 3463475.240000 2.977095 6.760000 5C4225714 7 -69 
1721201862141 1721201862157 16 328940.440000 3463475.290000 2.977095 6.760000 5C4225714 7 -69 
1721201862196 1721201862215 19 328940.170000 3463475.320000 2.977095 6.760000 5C4225714 7 -69 
1721201862251 1721201862269 18 328939.910000 3463475.360000 2.977095 6.760000 5C4225714 7 -69 
1721201862307 1721201862322 15 328939.560000 3463475.410000 3.001094 6.760000 5C4225714 7 -69 
1721201862367 1721201862387 20 328939.360000 3463475.430000 3.001094 6.760000 5C4225714 7 -69 
1721201862422 1721201862441 19 328938.820000 3463475.500000 3.001094 6.760000 5C4225714 7 -69 
1721201862477 1721201862494 17 328938.070000 3463475.580000 3.019856 6.760000 5C4225714 7 -69 
1721201862533 1721201862549 16 328937.810000 3463475.600000 3.019856 6.760000 5C4225714 7 -69 
1721201862588 1721201862613 25 328937.470000 3463475.630000 3.019856 6.760000 5C4225714 7 -69 
