pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721201166449 1721201166492 43 328972.530000 3463464.650000 2.612758 5.560000 5C4225714 8 -70 
1721201166504 1721201166530 26 328972.230000 3463464.820000 2.628902 5.560000 5C4225714 8 -70 
1721201166559 1721201166579 20 328971.690000 3463465.120000 2.628902 5.620000 5C4225714 8 -70 
1721201166614 1721201166640 26 328971.490000 3463465.220000 2.628902 5.620000 5C4225714 8 -70 
1721201166669 1721201166689 20 328971.240000 3463465.370000 2.634138 5.620000 5C4225714 8 -70 
1721201166724 1721201166741 17 328970.890000 3463465.550000 2.634138 5.620000 5C4225714 8 -70 
1721201166779 1721201166802 23 328970.640000 3463465.690000 2.634138 5.660000 5C4225714 8 -70 
1721201166834 1721201166851 17 328970.390000 3463465.810000 2.646792 5.660000 5C4225714 8 -70 
1721201166890 1721201166904 14 328970.240000 3463465.900000 2.646792 5.700000 5C4225714 8 -70 
1721201166945 1721201166963 18 328970.030000 3463466.010000 2.646792 5.740000 5C4225714 8 -70 
1721201167000 1721201167024 24 328969.670000 3463466.190000 2.646792 5.760000 5C4225714 8 -70 
1721201167055 1721201167072 17 328969.470000 3463466.310000 2.646792 5.800000 5C4225714 8 -70 
1721201167110 1721201167131 21 328969.160000 3463466.480000 2.657046 5.800000 5C4225714 8 -70 
1721201167170 1721201167190 20 328968.580000 3463466.760000 2.657046 5.840000 5C4225714 8 -70 
1721201167225 1721201167244 19 328968.320000 3463466.890000 2.664463 5.840000 5C4225714 8 -70 
1721201167280 1721201167298 18 328968.000000 3463467.060000 2.664463 5.840000 5C4225714 8 -70 
1721201167335 1721201167351 16 328967.740000 3463467.190000 2.664463 5.840000 5C4225714 8 -70 
1721201167390 1721201167408 18 328967.480000 3463467.310000 2.664463 5.840000 5C4225714 8 -70 
1721201167445 1721201167461 16 328967.370000 3463467.360000 2.664463 5.820000 5C4225714 8 -70 
