pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721810685592 1721810685628 36 329241.920000 3463457.160000 0.438296 5.100000 5C4225714 10 -63 
1721810685647 1721810685669 22 329242.070000 3463457.210000 0.438296 5.200000 5C4225714 10 -63 
1721810685701 1721810685723 22 329242.460000 3463457.370000 0.438296 5.320000 5C4225714 10 -63 
1721810685756 1721810685775 19 329242.710000 3463457.480000 0.425860 5.420000 5C4225714 10 -63 
1721810685811 1721810685828 17 329242.970000 3463457.580000 0.425860 5.500000 5C4225714 10 -63 
1721810685865 1721810685891 26 329243.180000 3463457.670000 0.425860 5.640000 5C4225714 10 -63 
1721810685924 1721810685942 18 329243.550000 3463457.820000 0.425860 5.780000 5C4225714 10 -63 
1721810685978 1721810685995 17 329244.050000 3463458.010000 0.416697 6.000000 5C4225714 10 -63 
1721810686037 1721810686058 21 329244.340000 3463458.120000 0.416697 6.080000 5C4225714 10 -63 
1721810686091 1721810686116 25 329244.630000 3463458.230000 0.416697 6.200000 5C4225714 10 -63 
1721810686150 1721810686167 17 329244.980000 3463458.360000 0.405353 6.280000 5C4225714 10 -63 
1721810686208 1721810686224 16 329245.280000 3463458.480000 0.405353 6.420000 5C4225714 10 -63 
1721810686262 1721810686280 18 329245.590000 3463458.590000 0.405353 6.520000 5C4225714 10 -63 
1721810686325 1721810686352 27 329245.650000 3463458.610000 0.405353 6.660000 5C4225714 10 -63 
1721810686388 1721810686407 19 329246.470000 3463458.920000 0.393354 6.880000 5C4225714 10 -63 
1721810686446 1721810686469 23 329246.680000 3463458.990000 0.393354 6.960000 5C4225714 10 -63 
1721810686505 1721810686524 19 329247.200000 3463459.180000 0.393354 7.100000 5C4225714 10 -63 
1721810686559 1721810686579 20 329247.550000 3463459.300000 0.380482 7.220000 5C4225714 10 -63 
1721810686617 1721810686635 18 329247.890000 3463459.420000 0.380482 7.300000 5C4225714 10 -63 
1721810686675 1721810686694 19 329248.310000 3463459.570000 0.380482 7.420000 5C4225714 10 -63 
1721810686734 1721810686755 21 329248.670000 3463459.690000 0.380482 7.500000 5C4225714 10 -63 
1721810686792 1721810686810 18 329249.250000 3463459.890000 0.365428 7.720000 5C4225714 10 -63 
1721810686846 1721810686864 18 329249.690000 3463460.040000 0.365428 7.860000 5C4225714 10 -63 
1721810686904 1721810686921 17 329250.070000 3463460.160000 0.365428 7.960000 5C4225714 10 -63 
1721810686958 1721810686975 17 329250.450000 3463460.290000 0.353211 8.060000 5C4225714 10 -63 
1721810687017 1721810687034 17 329250.840000 3463460.420000 0.353211 8.140000 5C4225714 10 -63 
1721810687071 1721810687091 20 329251.230000 3463460.540000 0.353211 8.320000 5C4225714 10 -63 
1721810687129 1721810687149 20 329251.790000 3463460.720000 0.344048 8.400000 5C4225714 10 -63 
1721810687183 1721810687201 18 329252.110000 3463460.830000 0.344048 8.500000 5C4225714 10 -63 
1721810687241 1721810687270 29 329252.860000 3463461.060000 0.344048 8.740000 5C4225714 10 -63 
1721810687299 1721810687316 17 329253.280000 3463461.200000 0.344048 8.820000 5C4225714 10 -63 
1721810687358 1721810687375 17 329253.790000 3463461.350000 0.328995 8.920000 5C4225714 10 -63 
1721810687417 1721810687434 17 329254.220000 3463461.490000 0.328995 9.000000 5C4225714 10 -63 
1721810687471 1721810687489 18 329254.660000 3463461.630000 0.328995 9.140000 5C4225714 10 -63 
1721810687530 1721810687551 21 329255.190000 3463461.790000 0.320922 9.260000 5C4225714 10 -63 
1721810687588 1721810687609 21 329255.640000 3463461.920000 0.320922 9.340000 5C4225714 10 -63 
1721810687642 1721810687661 19 329255.900000 3463462.010000 0.320922 9.460000 5C4225714 10 -63 
1721810687700 1721810687717 17 329256.920000 3463462.310000 0.313723 9.680000 5C4225714 10 -63 
1721810687754 1721810687777 23 329257.200000 3463462.400000 0.313723 9.720000 5C4225714 10 -63 
1721810687812 1721810687832 20 329257.860000 3463462.600000 0.313723 9.860000 5C4225714 10 -63 
1721810687866 1721810687883 17 329258.430000 3463462.760000 0.313723 9.960000 5C4225714 10 -63 
1721810687924 1721810687943 19 329258.910000 3463462.900000 0.306305 10.020000 5C4225714 10 -63 
1721810687978 1721810687995 17 329259.300000 3463463.020000 0.306305 10.140000 5C4225714 10 -63 
1721810688036 1721810688061 25 329259.490000 3463463.070000 0.306305 10.200000 5C4225714 10 -63 
1721810688090 1721810688118 28 329260.290000 3463463.290000 0.306305 10.300000 5C4225714 10 -63 
1721810688149 1721810688167 18 329260.580000 3463463.380000 0.306305 10.360000 5C4225714 10 -63 
1721810688203 1721810688224 21 329261.790000 3463463.720000 0.297579 10.520000 5C4225714 10 -63 
1721810688261 1721810688278 17 329262.400000 3463463.880000 0.297579 10.560000 5C4225714 10 -63 
1721810688315 1721810688332 17 329262.820000 3463463.990000 0.288197 10.640000 5C4225714 10 -63 
1721810688374 1721810688394 20 329263.230000 3463464.110000 0.288197 10.760000 5C4225714 10 -63 
1721810688432 1721810688448 16 329264.070000 3463464.330000 0.288197 10.820000 5C4225714 10 -63 
1721810688486 1721810688506 20 329264.600000 3463464.460000 0.288197 10.900000 5C4225714 10 -63 
1721810688546 1721810688571 25 329264.810000 3463464.510000 0.288197 10.980000 5C4225714 10 -63 
1721810688608 1721810688624 16 329266.100000 3463464.840000 0.278162 11.140000 5C4225714 10 -63 
1721810688662 1721810688682 20 329266.530000 3463464.950000 0.278162 11.180000 5C4225714 10 -63 
1721810688721 1721810688739 18 329267.190000 3463465.110000 0.266163 11.300000 5C4225714 10 -63 
1721810688775 1721810688791 16 329267.530000 3463465.190000 0.266163 11.380000 5C4225714 10 -63 
