pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721639638530 1721639638561 31 328966.330000 3463467.340000 2.669699 7.600000 5C422503D 18 -82 
1721639638635 1721639638655 20 328966.060000 3463467.470000 2.669699 7.600000 5C422503D 18 -82 
1721639638740 1721639638761 21 328964.900000 3463468.020000 2.685407 7.520000 5C422503D 18 -82 
1721639638845 1721639638865 20 328964.620000 3463468.150000 2.685407 7.500000 5C422503D 18 -82 
1721639638950 1721639638976 26 328963.590000 3463468.610000 2.706569 7.460000 5C422503D 18 -82 
1721639639055 1721639639076 21 328962.910000 3463468.910000 2.706569 7.440000 5C422503D 14 -83 
1721639639160 1721639639180 20 328962.220000 3463469.210000 2.717914 7.440000 5C422503D 14 -83 
1721639639264 1721639639286 22 328961.540000 3463469.480000 2.717914 7.440000 5C422503D 14 -83 
1721639639369 1721639639392 23 328960.710000 3463469.830000 2.740821 7.460000 5C422503D 14 -83 
1721639639473 1721639639495 22 328960.080000 3463470.080000 2.740821 7.500000 5C422503D 14 -83 
1721639639578 1721639639601 23 328959.240000 3463470.420000 2.755439 7.540000 5C422503D 14 -83 
1721639639683 1721639639706 23 328958.660000 3463470.630000 2.755439 7.580000 5C422503D 14 -83 
1721639639788 1721639639814 26 328957.880000 3463470.920000 2.771583 7.620000 5C422503D 14 -83 
1721639639893 1721639639916 23 328957.220000 3463471.150000 2.771583 7.680000 5C422503D 14 -83 
1721639639998 1721639640017 19 328956.640000 3463471.370000 2.790563 7.780000 5C422503D 14 -83 
1721639640102 1721639640121 19 328955.440000 3463471.770000 2.806489 7.860000 5C422503D 14 -83 
1721639640209 1721639640224 15 328954.920000 3463471.940000 2.806489 7.860000 5C422503D 14 -83 
1721639640313 1721639640341 28 328953.710000 3463472.320000 2.826124 7.900000 5C422503D 14 -83 
1721639640418 1721639640440 22 328952.940000 3463472.540000 2.826124 7.940000 5C422503D 14 -83 
1721639640523 1721639640546 23 328952.400000 3463472.700000 2.845323 8.000000 5C422503D 14 -83 
1721639640628 1721639640650 22 328951.470000 3463472.960000 2.845323 8.020000 5C422503D 14 -83 
1721639640733 1721639640756 23 328950.780000 3463473.150000 2.861249 8.040000 5C422503D 14 -83 
1721639640838 1721639640855 17 328950.070000 3463473.340000 2.861249 8.040000 5C422503D 14 -83 
1721639640943 1721639640961 18 328949.050000 3463473.590000 2.878484 8.080000 5C422503D 14 -83 
1721639641048 1721639641066 18 328948.170000 3463473.790000 2.878484 8.100000 5C422503D 14 -83 
1721639641157 1721639641176 19 328947.460000 3463473.960000 2.903137 8.140000 5C422503D 14 -83 
1721639641262 1721639641276 14 328946.580000 3463474.140000 2.903137 8.160000 5C422503D 14 -83 
