pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721639093013 1721639093039 26 328964.420000 3463468.590000 2.685407 8.180000 5C422503D 23 -80 
1721639093118 1721639093137 19 328963.750000 3463468.920000 2.708751 8.200000 5C422503D 23 -80 
1721639093223 1721639093248 25 328962.840000 3463469.310000 2.708751 8.240000 5C422503D 23 -80 
1721639093328 1721639093352 24 328962.000000 3463469.660000 2.723804 8.240000 5C422503D 23 -80 
1721639093433 1721639093457 24 328961.320000 3463469.940000 2.723804 8.240000 5C422503D 23 -80 
1721639093541 1721639093572 31 328960.780000 3463470.150000 2.747366 8.240000 5C422503D 23 -80 
1721639093645 1721639093668 23 328959.390000 3463470.690000 2.764165 8.260000 5C422503D 23 -80 
1721639093750 1721639093767 17 328959.010000 3463470.840000 2.764165 8.260000 5C422503D 23 -80 
1721639093855 1721639093873 18 328958.150000 3463471.160000 2.764165 8.220000 5C422503D 23 -80 
1721639093960 1721639093978 18 328956.910000 3463471.600000 2.780746 8.240000 5C422503D 23 -80 
1721639094065 1721639094088 23 328956.520000 3463471.740000 2.780746 8.240000 5C422503D 23 -80 
1721639094170 1721639094188 18 328955.420000 3463472.110000 2.799508 8.240000 5C422503D 23 -80 
1721639094274 1721639094293 19 328954.640000 3463472.370000 2.817398 8.240000 5C422503D 23 -80 
1721639094379 1721639094398 19 328953.770000 3463472.640000 2.817398 8.240000 5C422503D 23 -80 
1721639094486 1721639094508 22 328952.980000 3463472.880000 2.837469 8.240000 5C422503D 23 -80 
1721639094591 1721639094612 21 328952.340000 3463473.070000 2.837469 8.240000 5C422503D 23 -80 
1721639094696 1721639094718 22 328951.470000 3463473.320000 2.848159 8.240000 5C422503D 23 -80 
1721639094801 1721639094823 22 328950.670000 3463473.540000 2.848159 8.240000 5C422503D 23 -80 
1721639094905 1721639094928 23 328949.880000 3463473.750000 2.867576 8.260000 5C422503D 23 -80 
1721639095010 1721639095033 23 328948.910000 3463473.990000 2.867576 8.260000 5C422503D 23 -80 
1721639095115 1721639095137 22 328948.270000 3463474.140000 2.888956 8.240000 5C422503D 23 -80 
1721639095220 1721639095243 23 328947.380000 3463474.340000 2.888956 8.240000 5C422503D 23 -80 
1721639095325 1721639095348 23 328946.410000 3463474.530000 2.912955 8.240000 5C422503D 23 -80 
1721639095430 1721639095453 23 328945.270000 3463474.750000 2.912955 8.260000 5C422503D 23 -80 
1721639095535 1721639095558 23 328944.620000 3463474.870000 2.934553 8.240000 5C422503D 23 -80 
