pub_time(ms) sub_time(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1689586124186 1689586124258 328954.460000 3463476.640000 3.131775 0.000000
1689586124237 1689586124330 328954.460000 3463476.640000 3.131775 0.000000
1689586124287 1689586124338 328954.450000 3463476.650000 3.131121 0.000000
1689586124338 1689586124420 328954.440000 3463476.650000 3.131121 0.000000
1689586124388 1689586124433 328954.420000 3463476.640000 3.131121 0.000000
1689586124439 1689586124512 328954.400000 3463476.640000 3.129157 0.000000
1689586124489 1689586124586 328954.390000 3463476.640000 3.129157 0.220000
1689586124539 1689586124594 328954.370000 3463476.640000 3.129157 0.260000
1689586124591 1689586124668 328954.340000 3463476.640000 3.129157 0.360000
1689586124641 1689586124684 328954.310000 3463476.640000 3.129157 0.420000
1689586124693 1689586124758 328954.280000 3463476.650000 3.129157 0.500000
1689586124743 1689586124840 328954.240000 3463476.660000 3.129157 0.560000
1689586124793 1689586124840 328954.230000 3463476.660000 3.129157 0.660000
1689586124844 1689586124920 328954.170000 3463476.660000 3.124358 0.740000
1689586124895 1689586124934 328954.140000 3463476.660000 3.124358 0.840000
1689586124945 1689586125004 328954.080000 3463476.660000 3.124358 0.920000
1689586124996 1689586125076 328954.010000 3463476.660000 3.124358 1.020000
1689586125047 1689586125090 328953.950000 3463476.660000 3.125885 1.140000
1689586125097 1689586125166 328953.880000 3463476.660000 3.125885 1.220000
1689586125148 1689586125240 328953.800000 3463476.660000 3.125885 1.340000
1689586125198 1689586125240 328953.760000 3463476.660000 3.125885 1.440000
1689586125249 1689586125312 328953.650000 3463476.660000 3.130466 1.520000
1689586125299 1689586125382 328953.600000 3463476.670000 3.130466 1.620000
1689586125350 1689586125404 328953.540000 3463476.670000 3.130466 1.680000
1689586125400 1689586125473 328953.410000 3463476.670000 3.130466 1.800000
1689586125451 1689586125486 328953.300000 3463476.670000 3.127412 1.880000
1689586125501 1689586125563 328953.190000 3463476.680000 3.127412 1.980000
1689586125551 1689586125638 328953.110000 3463476.680000 3.127412 2.060000
1689586125602 1689586125652 328952.950000 3463476.690000 3.127412 2.140000
1689586125653 1689586125717 328952.860000 3463476.690000 3.127194 2.280000
1689586125703 1689586125792 328952.810000 3463476.690000 3.127194 2.360000
1689586125754 1689586125800 328952.590000 3463476.690000 3.127194 2.480000
1689586125805 1689586125942 328952.460000 3463476.700000 3.127194 2.540000
1689586125854 1689586125942 328952.300000 3463476.710000 3.128285 2.660000
1689586125906 1689586125952 328952.150000 3463476.710000 3.128285 2.760000
1689586125956 1689586126028 328952.000000 3463476.710000 3.128285 2.920000
1689586126007 1689586126039 328951.920000 3463476.720000 3.128285 3.000000
1689586126057 1689586126128 328951.820000 3463476.720000 3.128503 3.200000
1689586126108 1689586126142 328951.550000 3463476.730000 3.128503 3.320000
1689586126159 1689586126213 328951.410000 3463476.730000 3.128503 3.460000
1689586126209 1689586126284 328951.200000 3463476.740000 3.128503 3.660000
1689586126260 1689586126298 328950.970000 3463476.750000 3.120649 3.780000
1689586126310 1689586126370 328950.770000 3463476.760000 3.120649 3.900000
1689586126361 1689586126452 328950.570000 3463476.760000 3.120649 4.080000
1689586126411 1689586126452 328950.390000 3463476.760000 3.120649 4.260000
1689586126462 1689586126528 328950.080000 3463476.780000 3.130030 4.400000
1689586126512 1689586126542 328949.850000 3463476.780000 3.130030 4.580000
1689586126563 1689586126612 328949.610000 3463476.790000 3.130030 4.780000
1689586126613 1689586126748 328949.460000 3463476.790000 3.130030 4.880000
1689586126664 1689586126749 328949.210000 3463476.800000 3.127194 4.980000
1689586126715 1689586126749 328948.900000 3463476.810000 3.127194 5.160000
1689586126766 1689586126832 328948.690000 3463476.810000 3.127194 5.280000
