pub_time(ms) sub_time(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1689583974295 1689583974331 328988.230000 3463451.970000 2.291399 2.060000
1689583974345 1689583974401 328988.160000 3463452.040000 2.291399 2.100000
1689583974396 1689583974481 328988.070000 3463452.120000 2.291399 2.160000
1689583974447 1689583974481 328988.000000 3463452.180000 2.291399 2.200000
1689583974497 1689583974561 328987.900000 3463452.270000 2.316706 2.240000
1689583974548 1689583974572 328987.800000 3463452.360000 2.316706 2.280000
1689583974598 1689583974644 328987.690000 3463452.460000 2.316706 2.340000
1689583974648 1689583974723 328987.590000 3463452.540000 2.328487 2.380000
1689583974700 1689583974734 328987.560000 3463452.570000 2.328487 2.420000
1689583974750 1689583974809 328987.450000 3463452.670000 2.328487 2.460000
1689583974801 1689583974819 328987.330000 3463452.770000 2.328487 2.520000
1689583974852 1689583974895 328987.310000 3463452.800000 2.328487 2.560000
1689583974902 1689583974961 328987.140000 3463452.960000 2.342450 2.620000
1689583974952 1689583974982 328987.020000 3463453.070000 2.342450 2.640000
1689583975003 1689583975052 328986.920000 3463453.160000 2.342450 2.700000
1689583975054 1689583975133 328986.840000 3463453.240000 2.353576 2.740000
1689583975054 1689583975133 328986.840000 3463453.240000 2.353576 2.740000
1689583975105 1689583975205 328986.730000 3463453.340000 2.353576 2.800000
1689583975155 1689583975219 328986.590000 3463453.470000 2.353576 2.820000
1689583975206 1689583975293 328986.520000 3463453.530000 2.353576 2.880000
1689583975258 1689583975365 328986.460000 3463453.600000 2.353576 2.920000
1689583975308 1689583975374 328986.350000 3463453.700000 2.365794 2.960000
1689583975358 1689583975445 328986.180000 3463453.870000 2.365794 3.000000
1689583975412 1689583975513 328986.110000 3463453.940000 2.365794 3.060000
1689583975459 1689583975528 328985.990000 3463454.040000 2.371466 3.120000
1689583975510 1689583975596 328985.810000 3463454.220000 2.371466 3.160000
1689583975560 1689583975671 328985.700000 3463454.330000 2.371466 3.200000
1689583975611 1689583975684 328985.580000 3463454.440000 2.371466 3.240000
1689583975661 1689583975755 328985.470000 3463454.530000 2.374520 3.300000
1689583975712 1689583975829 328985.380000 3463454.640000 2.374520 3.340000
1689583975762 1689583975829 328985.230000 3463454.770000 2.374520 3.380000
