pub_time(ms) sub_time(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1689585986921 1689585986967 328994.370000 3463447.340000 2.347250 1.940000
1689585986971 1689585987044 328994.310000 3463447.400000 2.347250 1.940000
1689585987022 1689585987057 328994.210000 3463447.500000 2.347250 1.960000
1689585987073 1689585987133 328994.150000 3463447.560000 2.351613 1.960000
1689585987123 1689585987207 328994.080000 3463447.640000 2.351613 1.960000
1689585987173 1689585987217 328993.990000 3463447.720000 2.351613 1.960000
1689585987224 1689585987292 328993.920000 3463447.800000 2.348341 1.960000
1689585987274 1689585987307 328993.830000 3463447.880000 2.348341 1.960000
1689585987325 1689585987377 328993.790000 3463447.920000 2.348341 1.960000
1689585987375 1689585987455 328993.710000 3463448.010000 2.348341 1.960000
1689585987426 1689585987464 328993.660000 3463448.050000 2.348341 1.980000
1689585987477 1689585987546 328993.630000 3463448.080000 2.353795 1.980000
1689585987527 1689585987559 328993.500000 3463448.210000 2.353795 2.000000
1689585987578 1689585987630 328993.440000 3463448.280000 2.353795 2.000000
1689585987629 1689585987705 328993.370000 3463448.340000 2.353795 2.040000
1689585987680 1689585987713 328993.280000 3463448.440000 2.346595 2.040000
1689585987730 1689585987786 328993.200000 3463448.520000 2.346595 2.060000
1689585987780 1689585987861 328993.110000 3463448.600000 2.346595 2.080000
1689585987832 1689585987869 328993.030000 3463448.680000 2.355758 2.100000
1689585987882 1689585987937 328992.940000 3463448.780000 2.355758 2.120000
1689585987933 1689585988007 328992.890000 3463448.830000 2.355758 2.160000
1689585987984 1689585988022 328992.830000 3463448.880000 2.355758 2.240000
1689585988034 1689585988096 328992.720000 3463448.980000 2.362521 2.260000
1689585988085 1689585988109 328992.650000 3463449.060000 2.362521 2.320000
1689585988135 1689585988185 328992.550000 3463449.150000 2.362521 2.340000
1689585988187 1689585988266 328992.450000 3463449.250000 2.362521 2.420000
1689585988237 1689585988277 328992.380000 3463449.320000 2.371684 2.480000
1689585988288 1689585988346 328992.250000 3463449.460000 2.371684 2.520000
1689585988338 1689585988366 328992.150000 3463449.550000 2.371684 2.580000
1689585988390 1689585988437 328992.110000 3463449.580000 2.371684 2.640000
1689585988440 1689585988511 328991.940000 3463449.760000 2.372775 2.740000
1689585988491 1689585988519 328991.920000 3463449.770000 2.372775 2.780000
1689585988542 1689585988599 328991.800000 3463449.900000 2.372775 2.860000
1689585988594 1689585988614 328991.700000 3463449.980000 2.372775 2.920000
1689585988644 1689585988687 328991.570000 3463450.100000 2.379320 2.980000
1689585988694 1689585988758 328991.440000 3463450.220000 2.379320 3.040000
1689585988744 1689585988772 328991.300000 3463450.360000 2.379320 3.160000
1689585988796 1689585988849 328991.200000 3463450.450000 2.379320 3.200000
1689585988796 1689585988865 328991.200000 3463450.450000 2.379320 3.200000
1689585988847 1689585988938 328991.050000 3463450.580000 2.390228 3.320000
1689585988898 1689585989012 328990.900000 3463450.720000 2.390228 3.400000
1689585988948 1689585989025 328990.880000 3463450.740000 2.390228 3.500000
1689585988999 1689585989097 328990.630000 3463450.960000 2.390228 3.600000
1689585989051 1689585989177 328990.550000 3463451.040000 2.395683 3.700000
1689585989101 1689585989177 328990.460000 3463451.120000 2.395683 3.780000
1689585989152 1689585989254 328990.290000 3463451.260000 2.395683 3.900000
1689585989202 1689585989269 328990.080000 3463451.440000 2.395683 3.960000
1689585989253 1689585989336 328989.920000 3463451.580000 2.399610 4.100000
1689585989304 1689585989419 328989.800000 3463451.680000 2.399610 4.180000
1689585989355 1689585989419 328989.560000 3463451.880000 2.399610 4.280000
1689585989405 1689585989495 328989.390000 3463452.020000 2.399610 4.360000
1689585989456 1689585989568 328989.220000 3463452.170000 2.421863 4.500000
1689585989508 1689585989584 328989.050000 3463452.310000 2.421863 4.600000
1689585989558 1689585989654 328988.820000 3463452.500000 2.421863 4.700000
1689585989609 1689585989665 328988.670000 3463452.620000 2.421863 4.760000
1689585989660 1689585989745 328988.670000 3463452.620000 2.421863 4.880000
1689585989711 1689585989814 328988.330000 3463452.900000 2.448697 4.980000
1689585989761 1689585989829 328988.090000 3463453.090000 2.448697 5.080000
1689585989811 1689585989904 328987.880000 3463453.250000 2.448697 5.160000
1689585989862 1689585989914 328987.760000 3463453.360000 2.456115 5.300000
1689585989913 1689585989992 328987.510000 3463453.550000 2.456115 5.380000
1689585989963 1689585990063 328987.250000 3463453.750000 2.456115 5.500000
1689585990014 1689585990078 328987.070000 3463453.900000 2.456115 5.600000
1689585990065 1689585990149 328986.760000 3463454.150000 2.461132 5.680000
1689585990115 1689585990221 328986.480000 3463454.350000 2.461132 5.820000
1689585990165 1689585990221 328986.290000 3463454.500000 2.461132 5.880000
1689585990215 1689585990291 328986.050000 3463454.680000 2.461132 5.960000
1689585990266 1689585990359 328985.810000 3463454.870000 2.472259 6.080000
1689585990316 1689585990374 328985.610000 3463455.020000 2.472259 6.160000
1689585990366 1689585990441 328985.360000 3463455.210000 2.472259 6.260000
1689585990417 1689585990518 328985.210000 3463455.330000 2.472259 6.320000
1689585990468 1689585990530 328984.800000 3463455.640000 2.501493 6.400000
1689585990518 1689585990594 328984.700000 3463455.720000 2.501493 6.500000
1689585990568 1689585990668 328984.220000 3463456.070000 2.501493 6.580000
1689585990620 1689585990684 328983.950000 3463456.280000 2.500402 6.640000
