pub_time(ms) sub_time(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1689585026719 1689585026796 328984.080000 3463457.100000 2.532473 0.000000
1689585026770 1689585026866 328984.080000 3463457.100000 2.532473 0.000000
1689585026823 1689585026942 328984.080000 3463457.100000 2.532473 0.000000
1689585026874 1689585026942 328984.080000 3463457.100000 2.531600 0.000000
1689585026924 1689585027013 328984.080000 3463457.100000 2.531600 0.000000
1689585026975 1689585027081 328984.080000 3463457.100000 2.531600 0.000000
1689585027025 1689585027096 328984.080000 3463457.100000 2.531600 0.000000
1689585027076 1689585027172 328984.080000 3463457.100000 2.532691 0.000000
1689585027127 1689585027183 328984.080000 3463457.100000 2.532691 0.000000
1689585027178 1689585027256 328984.080000 3463457.100000 2.532691 0.000000
1689585027229 1689585027328 328984.080000 3463457.100000 2.534436 0.000000
1689585027278 1689585027336 328984.080000 3463457.100000 2.534436 0.000000
1689585027329 1689585027406 328984.070000 3463457.110000 2.534436 0.000000
1689585027380 1689585027476 328984.070000 3463457.110000 2.534436 0.000000
1689585027430 1689585027491 328984.060000 3463457.110000 2.534436 0.000000
1689585027481 1689585027566 328984.050000 3463457.120000 2.531600 0.000000
1689585027531 1689585027642 328984.040000 3463457.130000 2.531600 0.080000
1689585027582 1689585027642 328984.030000 3463457.130000 2.531600 0.120000
1689585027633 1689585027714 328984.010000 3463457.140000 2.535309 0.140000
1689585027684 1689585027788 328984.000000 3463457.150000 2.535309 0.140000
1689585027734 1689585027804 328983.990000 3463457.150000 2.535309 0.220000
1689585027785 1689585027870 328983.980000 3463457.160000 2.535309 0.240000
1689585027835 1689585027944 328983.960000 3463457.180000 2.535309 0.300000
1689585027886 1689585027944 328983.930000 3463457.190000 2.535309 0.380000
1689585027937 1689585028026 328983.920000 3463457.210000 2.535309 0.440000
1689585027987 1689585028044 328983.880000 3463457.230000 2.535309 0.500000
1689585028038 1689585028112 328983.860000 3463457.240000 2.537927 0.620000
1689585028088 1689585028186 328983.820000 3463457.270000 2.537927 0.700000
1689585028139 1689585028194 328983.790000 3463457.290000 2.537927 0.820000
1689585028189 1689585028261 328983.760000 3463457.310000 2.537927 0.860000
1689585028240 1689585028336 328983.700000 3463457.350000 2.546217 0.980000
1689585028289 1689585028343 328983.660000 3463457.380000 2.546217 1.060000
1689585028341 1689585028411 328983.600000 3463457.410000 2.546217 1.200000
1689585028391 1689585028486 328983.540000 3463457.460000 2.546217 1.260000
1689585028441 1689585028501 328983.480000 3463457.480000 2.543163 1.360000
1689585028491 1689585028582 328983.410000 3463457.540000 2.543163 1.480000
1689585028541 1689585028591 328983.320000 3463457.600000 2.543163 1.560000
1689585028593 1689585028666 328983.250000 3463457.640000 2.543163 1.680000
1689585028643 1689585028739 328983.220000 3463457.650000 2.543163 1.700000
1689585028694 1689585028753 328983.160000 3463457.700000 2.550581 1.820000
1689585028745 1689585028822 328983.030000 3463457.780000 2.550581 1.880000
1689585028795 1689585028898 328982.940000 3463457.840000 2.550581 1.960000
1689585028845 1689585028898 328982.850000 3463457.880000 2.556471 2.040000
1689585028896 1689585028970 328982.740000 3463457.960000 2.556471 2.120000
1689585028947 1689585029040 328982.660000 3463458.010000 2.556471 2.160000
1689585028997 1689585029049 328982.590000 3463458.050000 2.556471 2.240000
1689585029049 1689585029122 328982.460000 3463458.120000 2.559089 2.300000
1689585029099 1689585029194 328982.390000 3463458.180000 2.559089 2.360000
1689585029150 1689585029194 328982.260000 3463458.250000 2.559089 2.420000
1689585029200 1689585029261 328982.140000 3463458.310000 2.559089 2.500000
1689585029251 1689585029336 328982.010000 3463458.390000 2.565198 2.540000
1689585029301 1689585029343 328981.900000 3463458.460000 2.565198 2.620000
1689585029351 1689585029414 328981.790000 3463458.530000 2.565198 2.660000
