pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721291177698 1721291177729 31 329054.070000 3463123.390000 -2.619521 2.720000 5C407000B 9 -85 
1721291177752 1721291177770 18 329053.960000 3463123.310000 -2.619521 2.720000 5C407000B 9 -85 
1721291177807 1721291177821 14 329053.840000 3463123.240000 -2.619303 2.700000 5C407000B 9 -85 
1721291177862 1721291177877 15 329053.730000 3463123.170000 -2.619303 2.680000 5C407000B 9 -85 
1721291177917 1721291177938 21 329053.470000 3463123.010000 -2.619303 2.680000 5C407000B 9 -85 
1721291177972 1721291177993 21 329053.330000 3463122.930000 -2.609049 2.700000 5C407000B 9 -85 
1721291178026 1721291178053 27 329053.330000 3463122.930000 -2.609049 2.700000 5C407000B 9 -85 
1721291178081 1721291178103 22 329053.100000 3463122.770000 -2.609049 2.700000 5C407000B 9 -85 
1721291178136 1721291178151 15 329052.990000 3463122.700000 -2.609049 2.720000 5C407000B 9 -85 
1721291178190 1721291178206 16 329052.890000 3463122.640000 -2.598577 2.700000 5C407000B 9 -85 
1721291178245 1721291178261 16 329052.740000 3463122.540000 -2.598577 2.700000 5C407000B 9 -85 
1721291178300 1721291178315 15 329052.670000 3463122.490000 -2.598577 2.700000 5C407000B 9 -85 
1721291178354 1721291178373 19 329052.580000 3463122.430000 -2.598577 2.700000 5C407000B 9 -85 
1721291178413 1721291178431 18 329052.440000 3463122.340000 -2.592468 2.700000 5C407000B 9 -85 
1721291178468 1721291178486 18 329052.320000 3463122.270000 -2.592468 2.700000 5C407000B 9 -85 
1721291178522 1721291178536 14 329052.190000 3463122.180000 -2.592468 2.680000 5C407000B 9 -85 
1721291178577 1721291178591 14 329051.940000 3463122.020000 -2.581778 2.660000 5C407000B 9 -85 
1721291178631 1721291178651 20 329051.830000 3463121.940000 -2.581778 2.640000 5C407000B 9 -85 
1721291178686 1721291178700 14 329051.770000 3463121.890000 -2.581778 2.640000 5C407000B 9 -85 
1721291178741 1721291178755 14 329051.610000 3463121.780000 -2.573270 2.640000 5C407000B 9 -85 
