pub_time(ms) sub_time(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1689585507816 1689585507859 328985.140000 3463455.690000 2.587232 0.000000
1689585507867 1689585507933 328985.140000 3463455.690000 2.588105 0.000000
1689585507917 1689585507942 328985.140000 3463455.690000 2.588105 0.000000
1689585507968 1689585508013 328985.140000 3463455.690000 2.588105 0.000000
1689585508018 1689585508085 328985.140000 3463455.690000 2.588105 0.000000
1689585508069 1689585508097 328985.140000 3463455.690000 2.588105 0.000000
1689585508119 1689585508169 328985.140000 3463455.690000 2.588105 0.000000
1689585508170 1689585508243 328985.140000 3463455.690000 2.588105 0.000000
1689585508221 1689585508261 328985.140000 3463455.690000 2.588105 0.000000
1689585508272 1689585508339 328985.140000 3463455.690000 2.587014 0.000000
1689585508323 1689585508357 328985.140000 3463455.690000 2.587014 0.000000
1689585508373 1689585508431 328985.140000 3463455.690000 2.587014 0.000000
1689585508424 1689585508442 328985.130000 3463455.690000 2.587014 0.000000
1689585508475 1689585508512 328985.130000 3463455.690000 2.588760 0.000000
1689585508524 1689585508585 328985.120000 3463455.700000 2.588760 0.000000
1689585508575 1689585508594 328985.120000 3463455.700000 2.588760 0.000000
1689585508626 1689585508675 328985.110000 3463455.700000 2.587451 0.000000
1689585508676 1689585508749 328985.100000 3463455.720000 2.587451 0.000000
1689585508727 1689585508750 328985.090000 3463455.720000 2.587451 0.000000
1689585508727 1689585508823 328985.090000 3463455.720000 2.587451 0.000000
1689585508778 1689585508897 328985.080000 3463455.720000 2.587451 0.080000
1689585508878 1689585508917 328985.050000 3463455.740000 2.588323 0.200000
1689585508928 1689585508980 328985.040000 3463455.750000 2.588323 0.240000
1689585508979 1689585508997 328985.030000 3463455.760000 2.588323 0.280000
1689585508979 1689585509069 328985.030000 3463455.760000 2.588323 0.280000
1689585509030 1689585509151 328985.000000 3463455.770000 2.585923 0.340000
1689585509081 1689585509151 328984.990000 3463455.780000 2.585923 0.380000
1689585509132 1689585509221 328984.960000 3463455.810000 2.585923 0.420000
1689585509189 1689585509293 328984.940000 3463455.820000 2.585923 0.500000
1689585509239 1689585509302 328984.900000 3463455.840000 2.590505 0.540000
1689585509289 1689585509373 328984.880000 3463455.860000 2.590505 0.640000
1689585509340 1689585509444 328984.850000 3463455.890000 2.590505 0.680000
1689585509390 1689585509459 328984.820000 3463455.900000 2.590505 0.760000
1689585509441 1689585509533 328984.780000 3463455.930000 2.585269 0.840000
1689585509492 1689585509547 328984.740000 3463455.950000 2.585269 0.920000
1689585509542 1689585509614 328984.700000 3463456.000000 2.585269 1.000000
1689585509592 1689585509693 328984.650000 3463456.020000 2.585269 1.080000
1689585509643 1689585509704 328984.590000 3463456.060000 2.575015 1.140000
1689585509693 1689585509785 328984.540000 3463456.110000 2.575015 1.240000
1689585509744 1689585509796 328984.480000 3463456.150000 2.575015 1.260000
1689585509794 1689585509869 328984.440000 3463456.180000 2.575015 1.360000
1689585509844 1689585509939 328984.360000 3463456.240000 2.573924 1.420000
1689585509895 1689585509954 328984.280000 3463456.290000 2.573924 1.480000
1689585509945 1689585510029 328984.220000 3463456.340000 2.573924 1.540000
1689585509995 1689585510103 328984.180000 3463456.360000 2.573924 1.600000
1689585510046 1689585510103 328984.120000 3463456.410000 2.571088 1.660000
1689585510096 1689585510179 328984.040000 3463456.480000 2.571088 1.700000
1689585510147 1689585510255 328983.940000 3463456.530000 2.571088 1.740000
1689585510197 1689585510255 328983.870000 3463456.590000 2.571088 1.780000
1689585510248 1689585510331 328983.780000 3463456.640000 2.568252 1.860000
1689585510299 1689585510403 328983.710000 3463456.700000 2.568252 1.920000
1689585510350 1689585510403 328983.600000 3463456.770000 2.568252 1.960000
1689585510401 1689585510483 328983.520000 3463456.830000 2.568252 2.040000
1689585510451 1689585510559 328983.430000 3463456.900000 2.574361 2.080000
1689585510502 1689585510559 328983.430000 3463456.900000 2.574361 2.120000
1689585510554 1689585510633 328983.280000 3463456.990000 2.574361 2.200000
1689585510605 1689585510709 328983.190000 3463457.060000 2.574361 2.260000
1689585510654 1689585510709 328983.070000 3463457.140000 2.568688 2.300000
1689585510705 1689585510783 328982.970000 3463457.200000 2.568688 2.360000
1689585510757 1689585510857 328982.870000 3463457.270000 2.568688 2.400000
1689585510807 1689585510857 328982.750000 3463457.350000 2.568688 2.460000
1689585510858 1689585510924 328982.640000 3463457.430000 2.568470 2.500000
1689585510911 1689585510997 328982.530000 3463457.500000 2.568470 2.560000
1689585510959 1689585511011 328982.400000 3463457.590000 2.568470 2.600000
1689585511010 1689585511083 328982.290000 3463457.670000 2.568470 2.680000
1689585511061 1689585511155 328982.190000 3463457.730000 2.563016 2.720000
1689585511112 1689585511167 328982.100000 3463457.790000 2.563016 2.780000
1689585511162 1689585511239 328981.980000 3463457.870000 2.563016 2.820000
1689585511213 1689585511250 328981.830000 3463457.960000 2.563016 2.900000
1689585511263 1689585511320 328981.710000 3463458.060000 2.566943 2.940000
1689585511314 1689585511396 328981.650000 3463458.090000 2.566943 2.980000
1689585511365 1689585511409 328981.460000 3463458.230000 2.566943 3.020000
1689585511415 1689585511479 328981.300000 3463458.330000 2.566943 3.080000
1689585511466 1689585511553 328981.170000 3463458.420000 2.561489 3.140000
1689585511518 1689585511562 328981.020000 3463458.510000 2.561489 3.200000
1689585511568 1689585511631 328980.860000 3463458.620000 2.561489 3.240000
1689585511618 1689585511701 328980.720000 3463458.710000 2.563671 3.340000
1689585511669 1689585511719 328980.580000 3463458.820000 2.563671 3.380000
1689585511720 1689585511783 328980.500000 3463458.870000 2.563671 3.420000
1689585511771 1689585511855 328980.350000 3463458.980000 2.563671 3.440000
1689585511822 1689585511866 328980.170000 3463459.090000 2.563671 3.500000
1689585511872 1689585511939 328980.030000 3463459.200000 2.562143 3.560000
1689585511923 1689585511956 328979.900000 3463459.280000 2.562143 3.600000
1689585511973 1689585512037 328979.690000 3463459.420000 2.562143 3.680000
1689585512024 1689585512109 328979.620000 3463459.460000 2.562143 3.660000
1689585512074 1689585512109 328979.380000 3463459.630000 2.557562 3.780000
1689585512124 1689585512189 328979.180000 3463459.770000 2.557562 3.800000
1689585512175 1689585512212 328979.150000 3463459.790000 2.557562 3.860000
1689585512226 1689585512283 328978.910000 3463459.940000 2.557562 3.900000
1689585512276 1689585512357 328978.780000 3463460.030000 2.563452 3.960000
1689585512327 1689585512366 328978.580000 3463460.170000 2.563452 4.020000
1689585512377 1689585512436 328978.420000 3463460.280000 2.563452 4.080000
1689585512427 1689585512511 328978.270000 3463460.370000 2.563452 4.140000
1689585512478 1689585512511 328978.100000 3463460.500000 2.560834 4.200000
1689585512528 1689585512585 328977.860000 3463460.660000 2.560834 4.200000
1689585512580 1689585512663 328977.640000 3463460.810000 2.560834 4.240000
1689585512630 1689585512663 328977.490000 3463460.900000 2.567379 4.280000
1689585512681 1689585512731 328977.350000 3463461.000000 2.567379 4.300000
1689585512731 1689585512803 328977.200000 3463461.100000 2.567379 4.360000
1689585512781 1689585512815 328977.020000 3463461.210000 2.567379 4.380000
1689585512831 1689585512883 328976.760000 3463461.390000 2.565416 4.460000
1689585512882 1689585512959 328976.570000 3463461.520000 2.565416 4.480000
1689585512933 1689585512969 328976.380000 3463461.650000 2.565416 4.540000
1689585512983 1689585513043 328976.150000 3463461.790000 2.565416 4.560000
1689585513034 1689585513055 328975.990000 3463461.900000 2.569343 4.600000
1689585513085 1689585513126 328975.720000 3463462.080000 2.569343 4.620000
1689585513134 1689585513199 328975.650000 3463462.120000 2.569343 4.640000
1689585513185 1689585513211 328975.450000 3463462.260000 2.569343 4.640000
1689585513236 1689585513276 328975.210000 3463462.410000 2.571088 4.680000
1689585513285 1689585513355 328975.050000 3463462.520000 2.571088 4.720000
1689585513336 1689585513366 328974.770000 3463462.700000 2.571088 4.760000
1689585513387 1689585513436 328974.610000 3463462.810000 2.571088 4.800000
1689585513438 1689585513506 328974.360000 3463462.970000 2.572397 4.800000
1689585513489 1689585513522 328974.170000 3463463.110000 2.572397 4.800000
1689585513540 1689585513595 328973.920000 3463463.270000 2.572397 4.820000
1689585513590 1689585513611 328973.710000 3463463.400000 2.572397 4.840000
