pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721291948946 1721291948970 24 328999.570000 3463182.900000 -2.398301 2.820000 5C407000B 3 -93 
1721291949001 1721291949023 22 328999.420000 3463182.760000 -2.385865 2.900000 5C407000B 3 -93 
1721291949055 1721291949076 21 328999.420000 3463182.760000 -2.385865 2.900000 5C407000B 3 -93 
1721291949110 1721291949125 15 328999.170000 3463182.530000 -2.385865 3.080000 5C407000B 3 -93 
1721291949169 1721291949186 17 328999.080000 3463182.450000 -2.396992 3.180000 5C407000B 3 -93 
1721291949223 1721291949239 16 328998.940000 3463182.300000 -2.396992 3.280000 5C407000B 3 -93 
1721291949277 1721291949293 16 328998.810000 3463182.180000 -2.396992 3.380000 5C407000B 3 -93 
1721291949332 1721291949346 14 328998.660000 3463182.040000 -2.396992 3.460000 5C407000B 3 -93 
1721291949386 1721291949401 15 328998.520000 3463181.920000 -2.395464 3.600000 5C407000B 3 -93 
1721291949441 1721291949456 15 328998.450000 3463181.850000 -2.395464 3.680000 5C407000B 3 -93 
1721291949495 1721291949519 24 328998.080000 3463181.510000 -2.395464 3.860000 5C407000B 3 -93 
1721291949550 1721291949573 23 328998.080000 3463181.510000 -2.395464 3.860000 5C407000B 3 -93 
1721291949605 1721291949633 28 328997.830000 3463181.290000 -2.387174 4.100000 5C407000B 3 -93 
1721291949659 1721291949678 19 328997.670000 3463181.150000 -2.387174 4.240000 5C407000B 3 -93 
1721291949714 1721291949730 16 328997.510000 3463181.010000 -2.387174 4.280000 5C407000B 3 -93 
1721291949768 1721291949785 17 328997.340000 3463180.850000 -2.388483 4.420000 5C407000B 3 -93 
1721291949822 1721291949843 21 328997.140000 3463180.670000 -2.388483 4.480000 5C407000B 3 -93 
1721291949877 1721291949895 18 328996.970000 3463180.520000 -2.388483 4.540000 5C407000B 3 -93 
1721291949931 1721291949945 14 328996.860000 3463180.430000 -2.388483 4.600000 5C407000B 3 -93 
1721291949986 1721291950000 14 328996.660000 3463180.250000 -2.394374 4.620000 5C407000B 3 -93 
1721291950041 1721291950060 19 328996.480000 3463180.080000 -2.394374 4.640000 5C407000B 3 -93 
1721291950095 1721291950110 15 328996.230000 3463179.860000 -2.394374 4.640000 5C407000B 3 -93 
1721291950150 1721291950165 15 328996.050000 3463179.710000 -2.394374 4.640000 5C407000B 3 -93 
1721291950204 1721291950220 16 328995.690000 3463179.400000 -2.420335 4.660000 5C407000B 3 -93 
1721291950258 1721291950275 17 328995.620000 3463179.340000 -2.420335 4.660000 5C407000B 3 -93 
1721291950313 1721291950333 20 328995.620000 3463179.340000 -2.420335 4.660000 5C407000B 3 -93 
1721291950367 1721291950380 13 328995.310000 3463179.060000 -2.400919 4.660000 5C407000B 3 -93 
1721291950422 1721291950436 14 328995.050000 3463178.850000 -2.400919 4.660000 5C407000B 3 -93 
1721291950476 1721291950489 13 328994.910000 3463178.730000 -2.400919 4.640000 5C407000B 3 -93 
1721291950531 1721291950546 15 328994.630000 3463178.490000 -2.400919 4.640000 5C407000B 3 -93 
1721291950585 1721291950601 16 328994.450000 3463178.350000 -2.383465 4.640000 5C407000B 3 -93 
1721291950640 1721291950656 16 328994.270000 3463178.200000 -2.383465 4.620000 5C407000B 3 -93 
1721291950694 1721291950711 17 328994.170000 3463178.110000 -2.383465 4.620000 5C407000B 3 -93 
1721291950749 1721291950763 14 328993.920000 3463177.910000 -2.383465 4.620000 5C407000B 3 -93 
1721291950803 1721291950822 19 328993.740000 3463177.750000 -2.418808 4.620000 5C407000B 3 -93 
1721291950858 1721291950873 15 328993.390000 3463177.460000 -2.418808 4.600000 5C407000B 3 -93 
1721291950912 1721291950925 13 328993.290000 3463177.370000 -2.418808 4.600000 5C407000B 3 -93 
1721291950966 1721291950979 13 328993.290000 3463177.370000 -2.418808 4.600000 5C407000B 3 -93 
1721291951021 1721291951035 14 328992.970000 3463177.100000 -2.413572 4.620000 5C407000B 3 -93 
1721291951075 1721291951090 15 328992.680000 3463176.860000 -2.413572 4.640000 5C407000B 3 -93 
1721291951130 1721291951145 15 328992.500000 3463176.720000 -2.413572 4.640000 5C407000B 3 -93 
1721291951184 1721291951199 15 328992.500000 3463176.720000 -2.413572 4.640000 5C407000B 3 -93 
1721291951239 1721291951258 19 328992.100000 3463176.380000 -2.412481 4.680000 5C407000B 3 -93 
1721291951293 1721291951310 17 328991.920000 3463176.230000 -2.412481 4.680000 5C407000B 3 -93 
1721291951352 1721291951364 12 328991.770000 3463176.110000 -2.412481 4.700000 5C407000B 3 -93 
1721291951406 1721291951425 19 328991.510000 3463175.920000 -2.448042 4.700000 5C407000B 3 -93 
1721291951477 1721291951491 14 328991.170000 3463175.640000 -2.448042 4.800000 5C407000B 4 -97 
1721291951532 1721291951546 14 328990.990000 3463175.490000 -2.419026 4.800000 5C407000B 4 -97 
1721291951586 1721291951599 13 328990.830000 3463175.370000 -2.419026 4.840000 5C407000B 4 -97 
1721291951641 1721291951656 15 328990.750000 3463175.310000 -2.419026 4.860000 5C407000B 4 -97 
1721291951695 1721291951709 14 328990.490000 3463175.090000 -2.419026 4.880000 5C407000B 4 -97 
1721291951750 1721291951763 13 328990.220000 3463174.870000 -2.418808 4.920000 5C407000B 4 -97 
1721291951804 1721291951822 18 328990.020000 3463174.720000 -2.418808 4.960000 5C407000B 4 -97 
1721291951858 1721291951876 18 328989.850000 3463174.600000 -2.418808 5.000000 5C407000B 4 -97 
1721291951913 1721291951930 17 328989.580000 3463174.370000 -2.418808 5.020000 5C407000B 4 -97 
1721291951967 1721291951985 18 328989.430000 3463174.250000 -2.418808 5.060000 5C407000B 4 -97 
1721291952022 1721291952035 13 328989.190000 3463174.060000 -2.463096 5.060000 5C407000B 4 -97 
1721291952076 1721291952090 14 328988.980000 3463173.890000 -2.463096 5.120000 5C407000B 4 -97 
1721291952131 1721291952145 14 328988.860000 3463173.800000 -2.463096 5.140000 5C407000B 4 -97 
1721291952186 1721291952200 14 328988.410000 3463173.450000 -2.449570 5.240000 5C407000B 4 -97 
1721291952240 1721291952255 15 328988.200000 3463173.290000 -2.449570 5.300000 5C407000B 4 -97 
1721291952295 1721291952310 15 328988.030000 3463173.140000 -2.449570 5.340000 5C407000B 4 -97 
1721291952350 1721291952366 16 328987.730000 3463172.920000 -2.457860 5.400000 5C407000B 4 -97 
1721291952404 1721291952418 14 328987.520000 3463172.740000 -2.457860 5.440000 5C407000B 4 -97 
1721291952459 1721291952474 15 328987.310000 3463172.570000 -2.457860 5.500000 5C407000B 4 -97 
1721291952513 1721291952528 15 328987.080000 3463172.410000 -2.457860 5.500000 5C407000B 4 -97 
1721291952572 1721291952588 16 328986.860000 3463172.230000 -2.449570 5.520000 5C407000B 4 -97 
1721291952626 1721291952640 14 328986.640000 3463172.060000 -2.449570 5.560000 5C407000B 4 -97 
1721291952681 1721291952696 15 328986.380000 3463171.840000 -2.449570 5.600000 5C407000B 4 -97 
1721291952735 1721291952751 16 328986.020000 3463171.560000 -2.439534 5.620000 5C407000B 4 -97 
1721291952789 1721291952803 14 328985.790000 3463171.380000 -2.439534 5.620000 5C407000B 4 -97 
1721291952844 1721291952861 17 328985.790000 3463171.380000 -2.439534 5.620000 5C407000B 4 -97 
1721291952898 1721291952913 15 328985.360000 3463171.030000 -2.439534 5.640000 5C407000B 4 -97 
1721291952957 1721291952971 14 328985.140000 3463170.850000 -2.439534 5.620000 5C407000B 4 -97 
1721291953011 1721291953024 13 328984.910000 3463170.680000 -2.454369 5.620000 5C407000B 4 -97 
1721291953066 1721291953081 15 328984.640000 3463170.460000 -2.454369 5.620000 5C407000B 4 -97 
1721291953120 1721291953135 15 328984.420000 3463170.290000 -2.454369 5.620000 5C407000B 4 -97 
1721291953175 1721291953190 15 328984.160000 3463170.080000 -2.434734 5.620000 5C407000B 4 -97 
1721291953229 1721291953245 16 328983.940000 3463169.900000 -2.434734 5.600000 5C407000B 4 -97 
1721291953284 1721291953300 16 328983.720000 3463169.720000 -2.434734 5.560000 5C407000B 4 -97 
1721291953338 1721291953355 17 328983.460000 3463169.520000 -2.434734 5.520000 5C407000B 4 -97 
1721291953393 1721291953410 17 328983.280000 3463169.370000 -2.446515 5.520000 5C407000B 4 -97 
1721291953447 1721291953465 18 328982.810000 3463168.980000 -2.446515 5.520000 5C407000B 4 -97 
1721291953502 1721291953515 13 328982.680000 3463168.890000 -2.446515 5.500000 5C407000B 4 -97 
1721291953557 1721291953574 17 328982.460000 3463168.710000 -2.450442 5.500000 5C407000B 4 -97 
1721291953611 1721291953625 14 328982.200000 3463168.490000 -2.450442 5.480000 5C407000B 4 -97 
1721291953669 1721291953688 19 328982.040000 3463168.360000 -2.450442 5.460000 5C407000B 4 -97 
1721291953724 1721291953745 21 328981.830000 3463168.190000 -2.450442 5.420000 5C407000B 4 -97 
1721291953779 1721291953794 15 328981.570000 3463167.980000 -2.448261 5.400000 5C407000B 4 -97 
1721291953833 1721291953848 15 328981.310000 3463167.780000 -2.448261 5.360000 5C407000B 4 -97 
1721291953888 1721291953908 20 328981.190000 3463167.680000 -2.448261 5.360000 5C407000B 4 -97 
1721291953942 1721291953964 22 328980.890000 3463167.440000 -2.448261 5.360000 5C407000B 4 -97 
1721291953997 1721291954011 14 328980.760000 3463167.340000 -2.459169 5.340000 5C407000B 4 -97 
1721291954052 1721291954064 12 328980.510000 3463167.120000 -2.459169 5.340000 5C407000B 4 -97 
1721291954106 1721291954121 15 328980.510000 3463167.120000 -2.459169 5.320000 5C407000B 4 -97 
1721291954161 1721291954176 15 328979.810000 3463166.540000 -2.455460 5.320000 5C407000B 4 -97 
1721291954215 1721291954231 16 328979.640000 3463166.410000 -2.455460 5.320000 5C407000B 4 -97 
1721291954270 1721291954286 16 328979.480000 3463166.270000 -2.455460 5.320000 5C407000B 4 -97 
1721291954325 1721291954340 15 328979.270000 3463166.090000 -2.455460 5.320000 5C407000B 4 -97 
1721291954379 1721291954395 16 328979.030000 3463165.880000 -2.453497 5.340000 5C407000B 4 -97 
1721291954433 1721291954450 17 328978.810000 3463165.710000 -2.453497 5.340000 5C407000B 4 -97 
1721291954487 1721291954505 18 328978.610000 3463165.550000 -2.453497 5.320000 5C407000B 4 -97 
1721291954542 1721291954555 13 328978.360000 3463165.340000 -2.453497 5.320000 5C407000B 4 -97 
1721291954597 1721291954609 12 328978.160000 3463165.170000 -2.446297 5.320000 5C407000B 4 -97 
1721291954650 1721291954665 15 328978.160000 3463165.170000 -2.446297 5.320000 5C407000B 4 -97 
1721291954705 1721291954720 15 328977.790000 3463164.850000 -2.446297 5.320000 5C407000B 4 -97 
1721291954763 1721291954780 17 328977.380000 3463164.510000 -2.453060 5.320000 5C407000B 4 -97 
1721291954826 1721291954840 14 328977.170000 3463164.340000 -2.453060 5.300000 5C407000B 4 -97 
1721291954885 1721291954901 16 328977.050000 3463164.240000 -2.453060 5.300000 5C407000B 4 -97 
1721291954939 1721291954960 21 328976.760000 3463164.000000 -2.453060 5.300000 5C407000B 4 -97 
1721291955001 1721291955016 15 328976.520000 3463163.800000 -2.447388 5.300000 5C407000B 4 -97 
1721291955055 1721291955070 15 328976.310000 3463163.620000 -2.447388 5.300000 5C407000B 4 -97 
1721291955109 1721291955126 17 328976.110000 3463163.450000 -2.447388 5.300000 5C407000B 4 -97 
1721291955163 1721291955181 18 328975.900000 3463163.290000 -2.447388 5.300000 5C407000B 4 -97 
1721291955218 1721291955236 18 328975.660000 3463163.080000 -2.439534 5.300000 5C407000B 4 -97 
1721291955273 1721291955289 16 328975.250000 3463162.740000 -2.439534 5.280000 5C407000B 4 -97 
1721291955327 1721291955344 17 328975.130000 3463162.630000 -2.439534 5.280000 5C407000B 4 -97 
1721291955382 1721291955396 14 328974.920000 3463162.470000 -2.438007 5.280000 5C407000B 4 -97 
1721291955436 1721291955449 13 328974.670000 3463162.270000 -2.438007 5.280000 5C407000B 4 -97 
1721291955491 1721291955509 18 328974.470000 3463162.100000 -2.438007 5.280000 5C407000B 4 -97 
1721291955545 1721291955559 14 328974.310000 3463161.960000 -2.438007 5.300000 5C407000B 4 -97 
1721291955600 1721291955613 13 328974.070000 3463161.760000 -2.449133 5.300000 5C407000B 4 -97 
1721291955654 1721291955670 16 328973.810000 3463161.560000 -2.449133 5.300000 5C407000B 4 -97 
1721291955708 1721291955724 16 328973.610000 3463161.380000 -2.449133 5.300000 5C407000B 4 -97 
1721291955763 1721291955778 15 328973.410000 3463161.220000 -2.444770 5.300000 5C407000B 4 -97 
1721291955817 1721291955835 18 328973.200000 3463161.040000 -2.444770 5.320000 5C407000B 4 -97 
1721291955875 1721291955890 15 328972.740000 3463160.680000 -2.444770 5.320000 5C407000B 4 -97 
1721291955930 1721291955950 20 328972.740000 3463160.680000 -2.444770 5.320000 5C407000B 4 -97 
1721291955984 1721291955998 14 328972.410000 3463160.400000 -2.430807 5.320000 5C407000B 4 -97 
1721291956038 1721291956054 16 328972.200000 3463160.230000 -2.430807 5.320000 5C407000B 4 -97 
1721291956093 1721291956110 17 328972.000000 3463160.060000 -2.430807 5.320000 5C407000B 4 -97 
1721291956147 1721291956165 18 328971.750000 3463159.850000 -2.430807 5.320000 5C407000B 4 -97 
1721291956202 1721291956215 13 328971.620000 3463159.750000 -2.440188 5.340000 5C407000B 4 -97 
1721291956256 1721291956271 15 328971.330000 3463159.510000 -2.440188 5.340000 5C407000B 4 -97 
1721291956311 1721291956326 15 328971.130000 3463159.340000 -2.440188 5.340000 5C407000B 4 -97 
1721291956365 1721291956381 16 328970.880000 3463159.130000 -2.437352 5.340000 5C407000B 4 -97 
1721291956420 1721291956441 21 328970.670000 3463158.970000 -2.437352 5.340000 5C407000B 4 -97 
1721291956474 1721291956489 15 328970.460000 3463158.790000 -2.437352 5.340000 5C407000B 4 -97 
1721291956533 1721291956548 15 328970.210000 3463158.590000 -2.437352 5.360000 5C407000B 4 -97 
1721291956587 1721291956606 19 328969.790000 3463158.240000 -2.438225 5.380000 5C407000B 4 -97 
1721291956642 1721291956661 19 328969.710000 3463158.170000 -2.438225 5.380000 5C407000B 4 -97 
1721291956697 1721291956710 13 328969.540000 3463158.030000 -2.438225 5.380000 5C407000B 4 -97 
1721291956752 1721291956770 18 328969.250000 3463157.790000 -2.446297 5.380000 5C407000B 4 -97 
1721291956806 1721291956823 17 328969.000000 3463157.590000 -2.446297 5.380000 5C407000B 4 -97 
1721291956861 1721291956875 14 328968.790000 3463157.410000 -2.446297 5.400000 5C407000B 4 -97 
1721291956917 1721291956930 13 328968.660000 3463157.320000 -2.446297 5.400000 5C407000B 4 -97 
1721291956971 1721291956989 18 328968.500000 3463157.170000 -2.446297 5.400000 5C407000B 4 -97 
1721291957026 1721291957040 14 328968.110000 3463156.870000 -2.444988 5.400000 5C407000B 4 -97 
1721291957080 1721291957094 14 328967.910000 3463156.700000 -2.444988 5.400000 5C407000B 4 -97 
1721291957135 1721291957148 13 328967.700000 3463156.520000 -2.444988 5.400000 5C407000B 4 -97 
1721291957190 1721291957203 13 328967.520000 3463156.380000 -2.448261 5.420000 5C407000B 4 -97 
1721291957244 1721291957258 14 328967.020000 3463155.970000 -2.448261 5.420000 5C407000B 4 -97 
1721291957298 1721291957314 16 328966.810000 3463155.790000 -2.448261 5.420000 5C407000B 4 -97 
1721291957353 1721291957373 20 328966.590000 3463155.620000 -2.440843 5.440000 5C407000B 4 -97 
1721291957407 1721291957423 16 328966.470000 3463155.520000 -2.440843 5.440000 5C407000B 4 -97 
1721291957462 1721291957476 14 328966.330000 3463155.410000 -2.440843 5.440000 5C407000B 4 -97 
1721291957516 1721291957531 15 328966.040000 3463155.170000 -2.440843 5.460000 5C407000B 4 -97 
1721291957571 1721291957586 15 328965.780000 3463154.970000 -2.446297 5.460000 5C407000B 4 -97 
1721291957625 1721291957641 16 328965.570000 3463154.790000 -2.446297 5.460000 5C407000B 4 -97 
1721291957680 1721291957696 16 328965.360000 3463154.620000 -2.446297 5.480000 5C407000B 4 -97 
1721291957734 1721291957749 15 328965.110000 3463154.410000 -2.446297 5.480000 5C407000B 4 -97 
1721291957788 1721291957804 16 328964.970000 3463154.300000 -2.437352 5.480000 5C407000B 4 -97 
1721291957843 1721291957861 18 328964.670000 3463154.070000 -2.437352 5.480000 5C407000B 4 -97 
1721291957898 1721291957915 17 328964.410000 3463153.860000 -2.437352 5.500000 5C407000B 4 -97 
1721291957952 1721291957965 13 328963.990000 3463153.510000 -2.434516 5.500000 5C407000B 4 -97 
1721291958006 1721291958020 14 328963.900000 3463153.430000 -2.434516 5.500000 5C407000B 4 -97 
1721291958096 1721291958110 14 328963.430000 3463153.050000 -2.434516 5.500000 5C407000B 4 -97 
1721291958150 1721291958166 16 328963.220000 3463152.880000 -2.432989 5.500000 5C407000B 4 -97 
1721291958204 1721291958220 16 328962.970000 3463152.660000 -2.432989 5.500000 5C407000B 4 -97 
1721291958258 1721291958275 17 328962.740000 3463152.490000 -2.432989 5.500000 5C407000B 4 -97 
1721291958313 1721291958330 17 328962.740000 3463152.490000 -2.432989 5.500000 5C407000B 4 -97 
1721291958368 1721291958385 17 328962.320000 3463152.140000 -2.442588 5.500000 5C407000B 4 -97 
1721291958422 1721291958440 18 328962.060000 3463151.920000 -2.442588 5.500000 5C407000B 4 -97 
1721291958477 1721291958490 13 328961.890000 3463151.780000 -2.442588 5.520000 5C407000B 4 -97 
1721291958531 1721291958544 13 328961.630000 3463151.580000 -2.442588 5.520000 5C407000B 4 -97 
1721291958586 1721291958601 15 328961.420000 3463151.400000 -2.455024 5.520000 5C407000B 4 -97 
1721291958640 1721291958661 21 328961.290000 3463151.290000 -2.455024 5.520000 5C407000B 4 -97 
1721291958695 1721291958708 13 328961.110000 3463151.150000 -2.455024 5.520000 5C407000B 4 -97 
1721291958749 1721291958766 17 328960.860000 3463150.940000 -2.455024 5.520000 5C407000B 4 -97 
1721291958804 1721291958823 19 328960.640000 3463150.760000 -2.448042 5.520000 5C407000B 4 -97 
1721291958858 1721291958876 18 328960.380000 3463150.550000 -2.448042 5.520000 5C407000B 4 -97 
1721291958913 1721291958931 18 328959.950000 3463150.190000 -2.448042 5.520000 5C407000B 4 -97 
1721291958968 1721291958986 18 328959.730000 3463150.020000 -2.451533 5.560000 5C407000B 4 -97 
1721291959022 1721291959041 19 328959.730000 3463150.020000 -2.451533 5.560000 5C407000B 4 -97 
1721291959077 1721291959095 18 328959.260000 3463149.630000 -2.451533 5.500000 5C407000B 4 -97 
1721291959137 1721291959155 18 328959.050000 3463149.460000 -2.451533 5.520000 5C407000B 4 -97 
1721291959191 1721291959204 13 328958.910000 3463149.350000 -2.446515 5.500000 5C407000B 4 -97 
