pub_time(ms) sub_time(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1689584791230 1689584791273 328986.410000 3463455.270000 2.501275 0.000000
1689584791281 1689584791352 328986.410000 3463455.270000 2.503675 0.000000
1689584791331 1689584791362 328986.410000 3463455.270000 2.503675 0.000000
1689584791381 1689584791438 328986.410000 3463455.270000 2.503675 0.000000
1689584791432 1689584791514 328986.410000 3463455.270000 2.503893 0.000000
1689584791482 1689584791526 328986.410000 3463455.270000 2.503893 0.000000
1689584791533 1689584791604 328986.410000 3463455.270000 2.503893 0.000000
1689584791583 1689584791612 328986.410000 3463455.270000 2.503893 0.000000
1689584791634 1689584791686 328986.410000 3463455.270000 2.503893 0.000000
1689584791684 1689584791752 328986.410000 3463455.270000 2.504111 0.000000
1689584791734 1689584791767 328986.410000 3463455.270000 2.504111 0.000000
1689584791784 1689584791848 328986.410000 3463455.270000 2.504111 0.000000
1689584791835 1689584791860 328986.410000 3463455.270000 2.504111 0.000000
1689584791886 1689584791932 328986.410000 3463455.270000 2.501929 0.000000
1689584791936 1689584792003 328986.410000 3463455.270000 2.501929 0.000000
1689584791986 1689584792022 328986.410000 3463455.270000 2.501929 0.000000
1689584792036 1689584792087 328986.410000 3463455.270000 2.501929 0.000000
1689584792088 1689584792160 328986.410000 3463455.270000 2.503675 0.000000
1689584792138 1689584792175 328986.410000 3463455.270000 2.503675 0.000000
1689584792189 1689584792246 328986.410000 3463455.270000 2.503675 0.000000
1689584792241 1689584792318 328986.410000 3463455.270000 2.503238 0.000000
1689584792291 1689584792318 328986.410000 3463455.270000 2.503238 0.000000
1689584792341 1689584792387 328986.410000 3463455.270000 2.503238 0.000000
1689584792392 1689584792460 328986.410000 3463455.270000 2.503238 0.000000
1689584792442 1689584792478 328986.410000 3463455.270000 2.504329 0.000000
1689584792493 1689584792552 328986.410000 3463455.270000 2.504329 0.000000
1689584792544 1689584792563 328986.410000 3463455.270000 2.504329 0.000000
1689584792594 1689584792632 328986.410000 3463455.280000 2.504329 0.000000
1689584792645 1689584792705 328986.410000 3463455.280000 2.503457 0.000000
1689584792696 1689584792720 328986.410000 3463455.280000 2.503457 0.000000
