pub_time(ms) sub_time(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1689582721980 1689582722024 328987.050000 3463454.710000 2.458078 0.000000
1689582722031 1689582722096 328987.050000 3463454.710000 2.458078 0.000000
1689582722081 1689582722108 328987.050000 3463454.710000 2.458296 0.000000
1689582722132 1689582722185 328987.050000 3463454.710000 2.458296 0.000000
1689582722183 1689582722256 328987.050000 3463454.700000 2.458296 0.000000
1689582722233 1689582722272 328987.060000 3463454.700000 2.456987 0.000000
1689582722284 1689582722342 328987.050000 3463454.710000 2.456987 0.000000
1689582722335 1689582722422 328987.050000 3463454.710000 2.456987 0.000000
1689582722386 1689582722422 328987.050000 3463454.710000 2.456987 0.000000
1689582722436 1689582722492 328987.050000 3463454.700000 2.456987 0.000000
1689582722487 1689582722566 328987.050000 3463454.710000 2.457860 0.000000
1689582722538 1689582722566 328987.050000 3463454.710000 2.457860 0.000000
1689582722587 1689582722638 328987.050000 3463454.700000 2.457860 0.000000
1689582722638 1689582722712 328987.050000 3463454.700000 2.458951 0.000000
1689582722688 1689582722727 328987.050000 3463454.710000 2.458951 0.000000
1689582722738 1689582722798 328987.050000 3463454.710000 2.458951 0.000000
1689582722789 1689582722810 328987.050000 3463454.700000 2.458951 0.000000
1689582722840 1689582722879 328987.050000 3463454.700000 2.458078 0.000000
1689582722890 1689582722954 328987.050000 3463454.710000 2.458078 0.000000
1689582722941 1689582722967 328987.050000 3463454.710000 2.458078 0.000000
1689582722992 1689582723042 328987.040000 3463454.710000 2.458078 0.000000
1689582723042 1689582723120 328987.040000 3463454.710000 2.457860 0.000000
1689582723093 1689582723120 328987.030000 3463454.720000 2.457860 0.000000
1689582723144 1689582723187 328987.020000 3463454.720000 2.457860 0.000000
1689582723195 1689582723257 328987.020000 3463454.730000 2.457860 0.000000
1689582723195 1689582723273 328987.020000 3463454.730000 2.457860 0.000000
1689582723246 1689582723348 328987.010000 3463454.730000 2.457860 0.000000
1689582723297 1689582723362 328986.990000 3463454.740000 2.456333 0.040000
1689582723348 1689582723440 328986.980000 3463454.750000 2.456333 0.160000
1689582723398 1689582723518 328986.970000 3463454.770000 2.456333 0.180000
1689582723448 1689582723518 328986.960000 3463454.780000 2.456333 0.240000
1689582723499 1689582723592 328986.940000 3463454.790000 2.463314 0.280000
