pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1721641976900 1721641976917 17 328970.450000 3463464.630000 2.623012 7.980000 5C4225714 4 -72 
1721641976960 1721641976982 22 328970.110000 3463464.830000 2.623012 7.980000 5C4225714 4 -72 
1721641977036 1721641977053 17 328969.400000 3463465.230000 2.623012 8.000000 5C4225714 4 -72 
1721641977092 1721641977109 17 328969.400000 3463465.230000 2.623012 8.000000 5C4225714 4 -72 
1721641977163 1721641977182 19 328968.700000 3463465.630000 2.625412 8.000000 5C4225714 4 -72 
1721641977219 1721641977240 21 328968.210000 3463465.920000 2.625412 8.000000 5C4225714 4 -72 
1721641977255 1721641977274 19 328968.010000 3463466.030000 2.625412 8.020000 5C4225714 4 -72 
1721641977291 1721641977309 18 328967.790000 3463466.140000 2.625412 8.020000 5C4225714 4 -72 
1721641977326 1721641977353 27 328967.230000 3463466.460000 2.641338 8.000000 5C4225714 4 -72 
1721641977364 1721641977386 22 328967.230000 3463466.460000 2.641338 8.000000 5C4225714 4 -72 
1721641977400 1721641977420 20 328966.880000 3463466.650000 2.641338 7.980000 5C4225714 4 -72 
1721641977492 1721641977518 26 328966.110000 3463467.060000 2.652246 7.920000 5C4225714 4 -72 
1721641977527 1721641977546 19 328966.110000 3463467.060000 2.652246 7.920000 5C4225714 4 -72 
1721641977563 1721641977584 21 328966.110000 3463467.060000 2.652246 7.920000 5C4225714 4 -72 
1721641977630 1721641977658 28 328965.130000 3463467.570000 2.652246 7.860000 5C4225714 4 -72 
1721641977712 1721641977728 16 328964.770000 3463467.750000 2.670572 7.840000 5C4225714 4 -72 
1721641977771 1721641977786 15 328964.000000 3463468.140000 2.670572 7.840000 5C4225714 4 -72 
1721641977851 1721641977866 15 328963.720000 3463468.270000 2.670572 7.820000 5C4225714 4 -72 
1721641977929 1721641977950 21 328963.440000 3463468.410000 2.685189 7.800000 5C4225714 4 -72 
1721641978007 1721641978028 21 328962.590000 3463468.800000 2.685189 7.780000 5C4225714 4 -72 
1721641978061 1721641978082 21 328962.300000 3463468.930000 2.685189 7.760000 5C4225714 4 -72 
1721641978131 1721641978147 16 328961.880000 3463469.120000 2.704606 7.760000 5C4225714 4 -72 
1721641978191 1721641978212 21 328961.170000 3463469.430000 2.704606 7.740000 5C4225714 4 -72 
1721641978275 1721641978302 27 328960.740000 3463469.620000 2.704606 7.720000 5C4225714 4 -72 
1721641978331 1721641978348 17 328960.380000 3463469.770000 2.731222 7.740000 5C4225714 4 -72 
1721641978407 1721641978428 21 328959.660000 3463470.060000 2.731222 7.760000 5C4225714 4 -72 
1721641978466 1721641978486 20 328959.230000 3463470.230000 2.731222 7.760000 5C4225714 4 -72 
1721641978543 1721641978569 26 328959.080000 3463470.280000 2.747803 7.740000 5C4225714 4 -72 
1721641978599 1721641978614 15 328958.280000 3463470.580000 2.747803 7.740000 5C4225714 4 -72 
1721641978691 1721641978710 19 328957.540000 3463470.850000 2.771583 7.720000 5C4225714 4 -72 
1721641978730 1721641978748 18 328957.540000 3463470.850000 2.771583 7.720000 5C4225714 4 -72 
1721641978774 1721641978804 30 328957.180000 3463470.970000 2.771583 7.720000 5C4225714 4 -72 
1721641978819 1721641978834 15 328956.740000 3463471.110000 2.771583 7.720000 5C4225714 4 -72 
1721641978859 1721641978878 19 328956.380000 3463471.240000 2.771583 7.720000 5C4225714 4 -72 
1721641978895 1721641978912 17 328956.380000 3463471.240000 2.771583 7.720000 5C4225714 4 -72 
1721641978973 1721641978989 16 328955.720000 3463471.450000 2.797108 7.720000 5C4225714 4 -72 
1721641979008 1721641979032 24 328955.410000 3463471.550000 2.797108 7.720000 5C4225714 4 -72 
1721641979089 1721641979108 19 328954.890000 3463471.700000 2.797108 7.720000 5C4225714 4 -72 
1721641979147 1721641979164 17 328954.600000 3463471.790000 2.827215 7.720000 5C4225714 4 -72 
1721641979221 1721641979240 19 328953.710000 3463472.050000 2.827215 7.720000 5C4225714 4 -72 
1721641979279 1721641979298 19 328953.400000 3463472.130000 2.827215 7.700000 5C4225714 4 -72 
1721641979355 1721641979374 19 328953.180000 3463472.190000 2.852741 7.700000 5C4225714 4 -72 
1721641979416 1721641979435 19 328952.130000 3463472.460000 2.852741 7.720000 5C4225714 4 -72 
1721641979494 1721641979509 15 328951.830000 3463472.550000 2.852741 7.740000 5C4225714 4 -72 
1721641979549 1721641979565 16 328951.160000 3463472.710000 2.872812 7.760000 5C4225714 4 -72 
1721641979619 1721641979637 18 328950.780000 3463472.810000 2.872812 7.740000 5C4225714 4 -72 
1721641979679 1721641979701 22 328950.320000 3463472.920000 2.872812 7.760000 5C4225714 4 -72 
1721641979759 1721641979778 19 328949.650000 3463473.070000 2.902919 7.720000 5C4225714 4 -72 
1721641979817 1721641979833 16 328949.120000 3463473.190000 2.902919 7.720000 5C4225714 4 -72 
1721641979895 1721641979914 19 328948.810000 3463473.250000 2.902919 7.720000 5C4225714 4 -72 
1721641979951 1721641979970 19 328948.360000 3463473.350000 2.921245 7.720000 5C4225714 4 -72 
1721641980026 1721641980046 20 328947.510000 3463473.520000 2.921245 7.720000 5C4225714 4 -72 
1721641980068 1721641980094 26 328947.290000 3463473.560000 2.921245 7.720000 5C4225714 4 -72 
1721641980103 1721641980122 19 328947.290000 3463473.560000 2.921245 7.720000 5C4225714 4 -72 
1721641980172 1721641980196 24 328946.370000 3463473.730000 2.942843 7.740000 5C4225714 4 -72 
1721641980247 1721641980264 17 328946.150000 3463473.780000 2.942843 7.740000 5C4225714 4 -72 
1721641980305 1721641980324 19 328945.760000 3463473.850000 2.942843 7.740000 5C4225714 4 -72 
1721641980379 1721641980394 15 328945.070000 3463473.980000 2.949170 7.740000 5C4225714 4 -72 
1721641980435 1721641980450 15 328944.530000 3463474.070000 2.949170 7.740000 5C4225714 4 -72 
1721641980510 1721641980529 19 328944.080000 3463474.150000 2.965969 7.740000 5C4225714 4 -72 
1721641980564 1721641980580 16 328943.380000 3463474.270000 2.965969 7.740000 5C4225714 4 -72 
1721641980635 1721641980651 16 328942.920000 3463474.340000 2.965969 7.760000 5C4225714 4 -72 
1721641980688 1721641980707 19 328942.460000 3463474.420000 2.981241 7.760000 5C4225714 4 -72 
1721641980755 1721641980776 21 328942.220000 3463474.460000 2.981241 7.780000 5C4225714 4 -72 
1721641980811 1721641980827 16 328941.840000 3463474.520000 2.981241 7.780000 5C4225714 4 -72 
1721641980886 1721641980903 17 328941.230000 3463474.620000 2.981241 7.760000 5C4225714 4 -72 
1721641980941 1721641980961 20 328940.600000 3463474.700000 2.988004 7.780000 5C4225714 4 -72 
1721641981013 1721641981032 19 328940.220000 3463474.750000 2.988004 7.780000 5C4225714 4 -72 
1721641981070 1721641981087 17 328939.440000 3463474.870000 3.005239 7.760000 5C4225714 4 -72 
1721641981143 1721641981163 20 328938.980000 3463474.920000 3.005239 7.780000 5C4225714 4 -72 
1721641981179 1721641981199 20 328938.590000 3463474.970000 3.005239 7.780000 5C4225714 4 -72 
1721641981252 1721641981269 17 328938.270000 3463475.010000 3.005239 7.800000 5C4225714 4 -72 
1721641981340 1721641981359 19 328937.580000 3463475.100000 3.017674 7.800000 5C4225714 4 -72 
1721641981398 1721641981415 17 328937.490000 3463475.100000 3.017674 7.800000 5C4225714 4 -72 
1721641981471 1721641981491 20 328936.710000 3463475.190000 3.017674 7.800000 5C4225714 4 -72 
1721641981526 1721641981541 15 328935.930000 3463475.270000 3.033600 7.800000 5C4225714 4 -72 
1721641981596 1721641981611 15 328935.540000 3463475.310000 3.033600 7.800000 5C4225714 4 -72 
1721641981653 1721641981672 19 328935.150000 3463475.350000 3.033600 7.800000 5C4225714 4 -72 
1721641981725 1721641981745 20 328934.690000 3463475.390000 3.043854 7.800000 5C4225714 4 -72 
