pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s) cellid(db) sinr(db) rsrp(db)
1722324186006 1722324186037 31 329250.290000 3463456.280000 0.404044 0.540000 5C4225714 9 -68 
1722324186061 1722324186079 18 329250.320000 3463456.290000 0.404044 0.640000 5C4225714 9 -68 
1722324186116 1722324186133 17 329250.350000 3463456.300000 0.404262 0.680000 5C4225714 9 -68 
1722324186171 1722324186188 17 329250.400000 3463456.320000 0.404262 0.760000 5C4225714 9 -68 
1722324186225 1722324186242 17 329250.450000 3463456.340000 0.404262 0.840000 5C4225714 9 -68 
1722324186281 1722324186296 15 329250.480000 3463456.350000 0.404262 0.920000 5C4225714 9 -68 
1722324186336 1722324186355 19 329250.560000 3463456.400000 0.406007 1.000000 5C4225714 9 -68 
1722324186390 1722324186408 18 329250.590000 3463456.390000 0.406007 1.120000 5C4225714 9 -68 
1722324186446 1722324186464 18 329250.670000 3463456.440000 0.406007 1.220000 5C4225714 9 -68 
1722324186500 1722324186527 27 329250.710000 3463456.450000 0.406007 1.360000 5C4225714 9 -68 
1722324186556 1722324186572 16 329250.870000 3463456.520000 0.404916 1.580000 5C4225714 9 -68 
1722324186611 1722324186628 17 329250.960000 3463456.550000 0.404916 1.740000 5C4225714 9 -68 
1722324186666 1722324186682 16 329251.030000 3463456.590000 0.404916 1.880000 5C4225714 9 -68 
1722324186721 1722324186737 16 329251.170000 3463456.640000 0.402735 2.060000 5C4225714 9 -68 
1722324186776 1722324186791 15 329251.280000 3463456.680000 0.402735 2.180000 5C4225714 9 -68 
1722324186833 1722324186850 17 329251.380000 3463456.730000 0.402735 2.300000 5C4225714 9 -68 
1722324186892 1722324186909 17 329251.450000 3463456.760000 0.402735 2.460000 5C4225714 9 -68 
1722324186947 1722324186968 21 329251.560000 3463456.810000 0.402735 2.620000 5C4225714 9 -68 
1722324187002 1722324187021 19 329251.730000 3463456.870000 0.402735 2.740000 5C4225714 9 -68 
1722324187057 1722324187075 18 329251.990000 3463456.980000 0.402735 3.020000 5C4225714 9 -68 
1722324187112 1722324187129 17 329252.190000 3463457.060000 0.402517 3.240000 5C4225714 9 -68 
1722324187167 1722324187183 16 329252.340000 3463457.120000 0.402517 3.360000 5C4225714 9 -68 
1722324187222 1722324187249 27 329252.530000 3463457.210000 0.402517 3.560000 5C4225714 9 -68 
1722324187277 1722324187293 16 329252.670000 3463457.260000 0.402517 3.720000 5C4225714 9 -68 
1722324187331 1722324187349 18 329252.900000 3463457.340000 0.400553 3.940000 5C4225714 9 -68 
1722324187386 1722324187405 19 329253.000000 3463457.400000 0.400553 4.080000 5C4225714 9 -68 
1722324187441 1722324187462 21 329253.200000 3463457.470000 0.400553 4.280000 5C4225714 9 -68 
1722324187496 1722324187515 19 329253.400000 3463457.560000 0.400553 4.460000 5C4225714 9 -68 
1722324187550 1722324187569 19 329253.660000 3463457.660000 0.398371 4.660000 5C4225714 9 -68 
1722324187606 1722324187624 18 329253.880000 3463457.750000 0.398371 4.800000 5C4225714 9 -68 
1722324187660 1722324187678 18 329254.070000 3463457.820000 0.398371 5.040000 5C4225714 9 -68 
1722324187715 1722324187732 17 329254.450000 3463457.980000 0.397717 5.400000 5C4225714 9 -68 
1722324187770 1722324187786 16 329254.960000 3463458.190000 0.397717 5.560000 5C4225714 9 -68 
1722324187825 1722324187840 15 329255.170000 3463458.270000 0.397717 5.760000 5C4225714 9 -68 
1722324187880 1722324187899 19 329255.390000 3463458.360000 0.397717 5.980000 5C4225714 9 -68 
1722324187938 1722324187954 16 329255.610000 3463458.450000 0.395535 6.120000 5C4225714 9 -68 
1722324187993 1722324188012 19 329256.020000 3463458.620000 0.395535 6.340000 5C4225714 9 -68 
1722324188054 1722324188072 18 329256.330000 3463458.740000 0.395535 6.500000 5C4225714 9 -65 
1722324188108 1722324188127 19 329256.510000 3463458.800000 0.395535 6.720000 5C4225714 12 -65 
1722324188163 1722324188187 24 329256.950000 3463458.990000 0.392481 6.860000 5C4225714 12 -65 
1722324188217 1722324188238 21 329257.340000 3463459.150000 0.392481 7.100000 5C4225714 12 -65 
1722324188272 1722324188300 28 329257.680000 3463459.270000 0.392481 7.220000 5C4225714 12 -65 
1722324188327 1722324188343 16 329258.230000 3463459.500000 0.390736 7.600000 5C4225714 12 -65 
